Run,Year,Count
Hatchery Spring Chinook,1997,0
Hatchery Spring Chinook,1998,0
Hatchery Spring Chinook,1999,565
Hatchery Spring Chinook,2000,0
Hatchery Spring Chinook,2001,0
Hatchery Spring Chinook,2002,0
Hatchery Spring Chinook,2003,0
Hatchery Spring Chinook,2004,0
Hatchery Spring Chinook,2005,0
Hatchery Spring Chinook,2006,0
Hatchery Spring Chinook,2007,0
Hatchery Spring Chinook,2008,0
Hatchery Spring Chinook,2009,0
Hatchery Spring Chinook,2010,352
Hatchery Spring Chinook,2011,525
Hatchery Spring Chinook,2012,280
Hatchery Spring Chinook,2013,680
Hatchery Spring Chinook,2014,363
Hatchery Spring Chinook,2015,187
Hatchery Spring Chinook,2016,792
Hatchery Spring Chinook,2017,1846
Hatchery Spring Chinook,2018,1552
Hatchery Spring Chinook,2019,1231
Hatchery Spring Chinook,2020,2348
Hatchery Fall Chinook,1997,3462
Hatchery Fall Chinook,1998,8039
Hatchery Fall Chinook,1999,10343
Hatchery Fall Chinook,2000,6030
Hatchery Fall Chinook,2001,10951
Hatchery Fall Chinook,2002,9297
Hatchery Fall Chinook,2003,4987
Hatchery Fall Chinook,2004,4842
Hatchery Fall Chinook,2005,4052
Hatchery Fall Chinook,2006,10554
Hatchery Fall Chinook,2007,13357
Hatchery Fall Chinook,2008,16004
Hatchery Fall Chinook,2009,0
Hatchery Fall Chinook,2010,5837
Hatchery Fall Chinook,2011,7875
Hatchery Fall Chinook,2012,1255
Hatchery Fall Chinook,2013,3400
Hatchery Fall Chinook,2014,1917
Hatchery Fall Chinook,2015,2777
Hatchery Fall Chinook,2016,7432
Hatchery Fall Chinook,2017,10116
Hatchery Fall Chinook,2018,10932
Hatchery Fall Chinook,2019,8265
Hatchery Fall Chinook,2020,6350
Wild Coho,1997,0
Wild Coho,1998,0
Wild Coho,1999,0
Wild Coho,2000,0
Wild Coho,2001,0
Wild Coho,2002,0
Wild Coho,2003,0
Wild Coho,2004,0
Wild Coho,2005,0
Wild Coho,2006,0
Wild Coho,2007,0
Wild Coho,2008,0
Wild Coho,2009,0
Wild Coho,2010,423
Wild Coho,2011,883
Wild Coho,2012,1667
Wild Coho,2013,452
Wild Coho,2014,752
Wild Coho,2015,98
Wild Coho,2016,607
Wild Coho,2017,538
Wild Coho,2018,175
Wild Coho,2019,948
Wild Coho,2020,387
Hatchery Coho,1997,19874
Hatchery Coho,1998,9733
Hatchery Coho,1999,2539
Hatchery Coho,2000,15433
Hatchery Coho,2001,16229
Hatchery Coho,2002,14806
Hatchery Coho,2003,12227
Hatchery Coho,2004,29889
Hatchery Coho,2005,16652
Hatchery Coho,2006,12121
Hatchery Coho,2007,0
