Run,Year,Count
Wild Fall Chinook,1997,0
Wild Fall Chinook,1998,0
Wild Fall Chinook,1999,0
Wild Fall Chinook,2000,0
Wild Fall Chinook,2001,0
Wild Fall Chinook,2002,0
Wild Fall Chinook,2003,0
Wild Fall Chinook,2004,0
Wild Fall Chinook,2005,0
Wild Fall Chinook,2006,0
Wild Fall Chinook,2007,0
Wild Fall Chinook,2008,0
Wild Fall Chinook,2009,0
Wild Fall Chinook,2010,97
Wild Fall Chinook,2011,610
Wild Fall Chinook,2012,482
Wild Fall Chinook,2013,1119
Wild Fall Chinook,2014,0
Wild Fall Chinook,2015,3080
Wild Fall Chinook,2016,2571
Wild Fall Chinook,2017,1721
Wild Fall Chinook,2018,1397
Wild Fall Chinook,2019,1013
Wild Fall Chinook,2020,2528
Hatchery Fall Chinook,1997,0
Hatchery Fall Chinook,1998,0
Hatchery Fall Chinook,1999,0
Hatchery Fall Chinook,2000,2462
Hatchery Fall Chinook,2001,4169
Hatchery Fall Chinook,2002,2356
Hatchery Fall Chinook,2003,0
Hatchery Fall Chinook,2004,0
Hatchery Fall Chinook,2005,0
Hatchery Fall Chinook,2006,0
Hatchery Fall Chinook,2007,0
Hatchery Fall Chinook,2008,0
Hatchery Fall Chinook,2009,0
Hatchery Fall Chinook,2010,2489
Hatchery Fall Chinook,2011,5091
Hatchery Fall Chinook,2012,6559
Hatchery Fall Chinook,2013,7604
Hatchery Fall Chinook,2014,0
Hatchery Fall Chinook,2015,25696
Hatchery Fall Chinook,2016,16826
Hatchery Fall Chinook,2017,15636
Hatchery Fall Chinook,2018,11595
Hatchery Fall Chinook,2019,10093
Hatchery Fall Chinook,2020,13678
Wild Summer Steelhead,1997,0
Wild Summer Steelhead,1998,0
Wild Summer Steelhead,1999,0
Wild Summer Steelhead,2000,0
Wild Summer Steelhead,2001,0
Wild Summer Steelhead,2002,0
Wild Summer Steelhead,2003,0
Wild Summer Steelhead,2004,0
Wild Summer Steelhead,2005,0
Wild Summer Steelhead,2006,0
Wild Summer Steelhead,2007,0
Wild Summer Steelhead,2008,0
Wild Summer Steelhead,2009,0
Wild Summer Steelhead,2010,0
Wild Summer Steelhead,2011,0
Wild Summer Steelhead,2012,0
Wild Summer Steelhead,2013,0
Wild Summer Steelhead,2014,0
Wild Summer Steelhead,2015,164
Wild Summer Steelhead,2016,154
Wild Summer Steelhead,2017,159
Wild Summer Steelhead,2018,188
Wild Summer Steelhead,2019,97
Wild Summer Steelhead,2020,164
Hatchery Summer Steelhead,1997,0
Hatchery Summer Steelhead,1998,0
Hatchery Summer Steelhead,1999,0
Hatchery Summer Steelhead,2000,0
Hatchery Summer Steelhead,2001,0
Hatchery Summer Steelhead,2002,0
Hatchery Summer Steelhead,2003,0
Hatchery Summer Steelhead,2004,0
Hatchery Summer Steelhead,2005,0
Hatchery Summer Steelhead,2006,0
Hatchery Summer Steelhead,2007,0
Hatchery Summer Steelhead,2008,0
Hatchery Summer Steelhead,2009,0
Hatchery Summer Steelhead,2010,0
Hatchery Summer Steelhead,2011,0
Hatchery Summer Steelhead,2012,0
Hatchery Summer Steelhead,2013,0
Hatchery Summer Steelhead,2014,0
Hatchery Summer Steelhead,2015,1524
Hatchery Summer Steelhead,2016,1042
Hatchery Summer Steelhead,2017,466
Hatchery Summer Steelhead,2018,644
Hatchery Summer Steelhead,2019,526
Hatchery Summer Steelhead,2020,743
Wild Type S Coho,1997,0
Wild Type S Coho,1998,0
Wild Type S Coho,1999,0
Wild Type S Coho,2000,0
Wild Type S Coho,2001,0
Wild Type S Coho,2002,0
Wild Type S Coho,2003,0
Wild Type S Coho,2004,0
Wild Type S Coho,2005,0
Wild Type S Coho,2006,0
Wild Type S Coho,2007,0
Wild Type S Coho,2008,0
Wild Type S Coho,2009,0
Wild Type S Coho,2010,0
Wild Type S Coho,2011,0
Wild Type S Coho,2012,0
Wild Type S Coho,2013,0
Wild Type S Coho,2014,0
Wild Type S Coho,2015,69
Wild Type S Coho,2016,50
Wild Type S Coho,2017,41
Wild Type S Coho,2018,18
Wild Type S Coho,2019,64
Wild Type S Coho,2020,102
Wild Type N Coho,1997,0
Wild Type N Coho,1998,0
Wild Type N Coho,1999,0
Wild Type N Coho,2000,0
Wild Type N Coho,2001,0
Wild Type N Coho,2002,0
Wild Type N Coho,2003,0
Wild Type N Coho,2004,0
Wild Type N Coho,2005,0
Wild Type N Coho,2006,0
Wild Type N Coho,2007,0
Wild Type N Coho,2008,0
Wild Type N Coho,2009,0
Wild Type N Coho,2010,0
Wild Type N Coho,2011,0
Wild Type N Coho,2012,0
Wild Type N Coho,2013,0
Wild Type N Coho,2014,0
Wild Type N Coho,2015,21
Wild Type N Coho,2016,20
Wild Type N Coho,2017,68
Wild Type N Coho,2018,29
Wild Type N Coho,2019,0
Wild Type N Coho,2020,100
Hatchery Type S Coho,1997,0
Hatchery Type S Coho,1998,0
Hatchery Type S Coho,1999,0
Hatchery Type S Coho,2000,0
Hatchery Type S Coho,2001,0
Hatchery Type S Coho,2002,0
Hatchery Type S Coho,2003,0
Hatchery Type S Coho,2004,0
Hatchery Type S Coho,2005,0
Hatchery Type S Coho,2006,0
Hatchery Type S Coho,2007,0
Hatchery Type S Coho,2008,0
Hatchery Type S Coho,2009,0
Hatchery Type S Coho,2010,0
Hatchery Type S Coho,2011,0
Hatchery Type S Coho,2012,0
Hatchery Type S Coho,2013,0
Hatchery Type S Coho,2014,0
Hatchery Type S Coho,2015,1538
Hatchery Type S Coho,2016,141
Hatchery Type S Coho,2017,102
Hatchery Type S Coho,2018,45
Hatchery Type S Coho,2019,78
Hatchery Type S Coho,2020,1122
Hatchery Type N Coho,1997,0
Hatchery Type N Coho,1998,0
Hatchery Type N Coho,1999,0
Hatchery Type N Coho,2000,0
Hatchery Type N Coho,2001,0
Hatchery Type N Coho,2002,0
Hatchery Type N Coho,2003,0
Hatchery Type N Coho,2004,0
Hatchery Type N Coho,2005,0
Hatchery Type N Coho,2006,0
Hatchery Type N Coho,2007,0
