Run,Year,Count
Wild Fall Chinook,1997,0
Wild Fall Chinook,1998,0
Wild Fall Chinook,1999,0
Wild Fall Chinook,2000,0
Wild Fall Chinook,2001,0
Wild Fall Chinook,2002,0
Wild Fall Chinook,2003,0
Wild Fall Chinook,2004,0
Wild Fall Chinook,2005,0
Wild Fall Chinook,2006,0
Wild Fall Chinook,2007,0
Wild Fall Chinook,2008,0
Wild Fall Chinook,2009,0
Wild Fall Chinook,2010,0
Wild Fall Chinook,2011,365
Wild Fall Chinook,2012,552
Wild Fall Chinook,2013,180
Wild Fall Chinook,2014,304
Wild Fall Chinook,2015,876
Wild Fall Chinook,2016,501
Wild Fall Chinook,2017,799
Wild Fall Chinook,2018,489
Wild Fall Chinook,2019,194
Wild Fall Chinook,2020,647
Hatchery Fall Chinook,1997,3138
Hatchery Fall Chinook,1998,1423
Hatchery Fall Chinook,1999,24
Hatchery Fall Chinook,2000,0
Hatchery Fall Chinook,2001,0
Hatchery Fall Chinook,2002,2902
Hatchery Fall Chinook,2003,955
Hatchery Fall Chinook,2004,1663
Hatchery Fall Chinook,2005,1300
Hatchery Fall Chinook,2006,2408
Hatchery Fall Chinook,2007,1350
Hatchery Fall Chinook,2008,920
Hatchery Fall Chinook,2009,400
Hatchery Fall Chinook,2010,691
Hatchery Fall Chinook,2011,4610
Hatchery Fall Chinook,2012,4186
Hatchery Fall Chinook,2013,3359
Hatchery Fall Chinook,2014,2636
Hatchery Fall Chinook,2015,4844
Hatchery Fall Chinook,2016,2018
Hatchery Fall Chinook,2017,3280
Hatchery Fall Chinook,2018,2927
Hatchery Fall Chinook,2019,2512
Hatchery Fall Chinook,2020,6680
Hatchery Winter Steelhead,1997,4
Hatchery Winter Steelhead,1998,38
Hatchery Winter Steelhead,1999,34
Hatchery Winter Steelhead,2000,18
Hatchery Winter Steelhead,2001,18
Hatchery Winter Steelhead,2002,25
Hatchery Winter Steelhead,2003,35
Hatchery Winter Steelhead,2004,9
Hatchery Winter Steelhead,2005,0
Hatchery Winter Steelhead,2006,0
Hatchery Winter Steelhead,2007,0
Hatchery Winter Steelhead,2008,0
Hatchery Winter Steelhead,2009,0
Hatchery Winter Steelhead,2010,34
Hatchery Winter Steelhead,2011,0
Hatchery Winter Steelhead,2012,15
Hatchery Winter Steelhead,2013,86
Hatchery Winter Steelhead,2014,437
Hatchery Winter Steelhead,2015,848
Hatchery Winter Steelhead,2016,804
Hatchery Winter Steelhead,2017,243
Hatchery Winter Steelhead,2018,133
Hatchery Winter Steelhead,2019,53
Hatchery Winter Steelhead,2020,303
Wild Coho,1997,0
Wild Coho,1998,0
Wild Coho,1999,0
Wild Coho,2000,0
Wild Coho,2001,0
Wild Coho,2002,0
Wild Coho,2003,0
Wild Coho,2004,0
Wild Coho,2005,0
Wild Coho,2006,0
Wild Coho,2007,0
Wild Coho,2008,0
Wild Coho,2009,0
Wild Coho,2010,0
Wild Coho,2011,45
Wild Coho,2012,54
Wild Coho,2013,127
Wild Coho,2014,72
Wild Coho,2015,260
Wild Coho,2016,281
Wild Coho,2017,83
Wild Coho,2018,127
Wild Coho,2019,301
Wild Coho,2020,179
Wild Late Coho,1997,0
Wild Late Coho,1998,0
Wild Late Coho,1999,0
Wild Late Coho,2000,0
Wild Late Coho,2001,0
Wild Late Coho,2002,0
Wild Late Coho,2003,0
Wild Late Coho,2004,0
Wild Late Coho,2005,0
Wild Late Coho,2006,0
Wild Late Coho,2007,0
Wild Late Coho,2008,0
Wild Late Coho,2009,0
Wild Late Coho,2010,0
Wild Late Coho,2011,0
Wild Late Coho,2012,8
Wild Late Coho,2013,13
Wild Late Coho,2014,17
Wild Late Coho,2015,25
Wild Late Coho,2016,97
Wild Late Coho,2017,42
Wild Late Coho,2018,72
Wild Late Coho,2019,27
Wild Late Coho,2020,15
Hatchery Coho,1997,1455
Hatchery Coho,1998,1064
Hatchery Coho,1999,96
Hatchery Coho,2000,0
Hatchery Coho,2001,0
Hatchery Coho,2002,17586
Hatchery Coho,2003,33600
Hatchery Coho,2004,475
Hatchery Coho,2005,1200
Hatchery Coho,2006,200
Hatchery Coho,2007,120
Hatchery Coho,2008,0
Hatchery Coho,2009,1050
Hatchery Coho,2010,2483
Hatchery Coho,2011,10817
Hatchery Coho,2012,9234
Hatchery Coho,2013,7371
Hatchery Coho,2014,45431
Hatchery Coho,2015,7286
Hatchery Coho,2016,10284
Hatchery Coho,2017,1477
Hatchery Coho,2018,5303
Hatchery Coho,2019,9556
Hatchery Coho,2020,22031
Hatchery Late Coho,1997,17
Hatchery Late Coho,1998,58
Hatchery Late Coho,1999,57
Hatchery Late Coho,2000,80
Hatchery Late Coho,2001,169
Hatchery Late Coho,2002,130
Hatchery Late Coho,2003,154
Hatchery Late Coho,2004,0
Hatchery Late Coho,2005,0
Hatchery Late Coho,2006,0
Hatchery Late Coho,2007,0
Hatchery Late Coho,2008,0
Hatchery Late Coho,2009,70
Hatchery Late Coho,2010,46
Hatchery Late Coho,2011,115
Hatchery Late Coho,2012,512
Hatchery Late Coho,2013,597
Hatchery Late Coho,2014,2301
Hatchery Late Coho,2015,1690
Hatchery Late Coho,2016,863
Hatchery Late Coho,2017,191
Hatchery Late Coho,2018,423
Hatchery Late Coho,2019,626
Hatchery Late Coho,2020,743
Wild Chum,1997,0
Wild Chum,1998,0
Wild Chum,1999,112
Wild Chum,2000,0
Wild Chum,2001,0
Wild Chum,2002,0
Wild Chum,2003,0
Wild Chum,2004,0
Wild Chum,2005,0
Wild Chum,2006,33
Wild Chum,2007,0
Wild Chum,2008,0
Wild Chum,2009,0
Wild Chum,2010,0
Wild Chum,2011,207
Wild Chum,2012,277
Wild Chum,2013,374
Wild Chum,2014,349
Wild Chum,2015,500
Wild Chum,2016,0
Wild Chum,2017,0
Wild Chum,2018,0
Wild Chum,2019,0
Wild Chum,2020,0
Unknown Chum,1997,0
Unknown Chum,1998,0
Unknown Chum,1999,0
Unknown Chum,2000,0
Unknown Chum,2001,0
Unknown Chum,2002,0
