Run,Year,Count
Wild Fall Chinook,1997,0
Wild Fall Chinook,1998,0
Wild Fall Chinook,1999,0
Wild Fall Chinook,2000,0
Wild Fall Chinook,2001,0
Wild Fall Chinook,2002,0
Wild Fall Chinook,2003,0
Wild Fall Chinook,2004,0
Wild Fall Chinook,2005,0
Wild Fall Chinook,2006,0
Wild Fall Chinook,2007,0
Wild Fall Chinook,2008,0
Wild Fall Chinook,2009,0
Wild Fall Chinook,2010,0
Wild Fall Chinook,2011,85
Wild Fall Chinook,2012,21
Wild Fall Chinook,2013,147
Wild Fall Chinook,2014,38
Wild Fall Chinook,2015,168
Wild Fall Chinook,2016,162
Wild Fall Chinook,2017,117
Wild Fall Chinook,2018,280
Wild Fall Chinook,2019,279
Wild Fall Chinook,2020,840
Hatchery Fall Chinook,1997,755
Hatchery Fall Chinook,1998,1135
Hatchery Fall Chinook,1999,1025
Hatchery Fall Chinook,2000,900
Hatchery Fall Chinook,2001,1650
Hatchery Fall Chinook,2002,1300
Hatchery Fall Chinook,2003,0
Hatchery Fall Chinook,2004,1556
Hatchery Fall Chinook,2005,202
Hatchery Fall Chinook,2006,0
Hatchery Fall Chinook,2007,0
Hatchery Fall Chinook,2008,0
Hatchery Fall Chinook,2009,0
Hatchery Fall Chinook,2010,2330
Hatchery Fall Chinook,2011,2130
Hatchery Fall Chinook,2012,1125
Hatchery Fall Chinook,2013,4774
Hatchery Fall Chinook,2014,3363
Hatchery Fall Chinook,2015,2218
Hatchery Fall Chinook,2016,1825
Hatchery Fall Chinook,2017,3120
Hatchery Fall Chinook,2018,4376
Hatchery Fall Chinook,2019,4025
Hatchery Fall Chinook,2020,8120
Wild Coho,1997,0
Wild Coho,1998,0
Wild Coho,1999,0
Wild Coho,2000,150
Wild Coho,2001,0
Wild Coho,2002,0
Wild Coho,2003,0
Wild Coho,2004,100
Wild Coho,2005,0
Wild Coho,2006,0
Wild Coho,2007,0
Wild Coho,2008,0
Wild Coho,2009,115
Wild Coho,2010,89
Wild Coho,2011,5
Wild Coho,2012,0
Wild Coho,2013,85
Wild Coho,2014,39
Wild Coho,2015,6
Wild Coho,2016,47
Wild Coho,2017,100
Wild Coho,2018,121
Wild Coho,2019,275
Wild Coho,2020,86
Hatchery Coho,1997,900
Hatchery Coho,1998,1275
Hatchery Coho,1999,5200
Hatchery Coho,2000,4800
Hatchery Coho,2001,19300
Hatchery Coho,2002,3000
Hatchery Coho,2003,0
Hatchery Coho,2004,3000
Hatchery Coho,2005,4000
Hatchery Coho,2006,0
Hatchery Coho,2007,0
Hatchery Coho,2008,0
Hatchery Coho,2009,0
Hatchery Coho,2010,12156
Hatchery Coho,2011,0
Hatchery Coho,2012,0
Hatchery Coho,2013,0
Hatchery Coho,2014,0
Hatchery Coho,2015,0
Hatchery Coho,2016,19
Hatchery Coho,2017,0
Hatchery Coho,2018,19
Hatchery Coho,2019,46
Hatchery Coho,2020,49
Wild Chum,1997,665
Wild Chum,1998,290
Wild Chum,1999,452
Wild Chum,2000,200
Wild Chum,2001,350
Wild Chum,2002,0
Wild Chum,2003,0
Wild Chum,2004,626
Wild Chum,2005,0
Wild Chum,2006,0
Wild Chum,2007,0
Wild Chum,2008,6
Wild Chum,2009,30
Wild Chum,2010,167
Wild Chum,2011,371
Wild Chum,2012,339
Wild Chum,2013,340
Wild Chum,2014,365
Wild Chum,2015,364
Wild Chum,2016,0
Wild Chum,2017,0
Wild Chum,2018,0
Wild Chum,2019,0
Wild Chum,2020,0
Unknown Chum,1997,0
Unknown Chum,1998,0
Unknown Chum,1999,0
Unknown Chum,2000,0
Unknown Chum,2001,0
Unknown Chum,2002,0
Unknown Chum,2003,0
Unknown Chum,2004,0
Unknown Chum,2005,0
Unknown Chum,2006,0
Unknown Chum,2007,0
Unknown Chum,2008,0
Unknown Chum,2009,0
Unknown Chum,2010,0
Unknown Chum,2011,0
Unknown Chum,2012,0
Unknown Chum,2013,0
Unknown Chum,2014,0
Unknown Chum,2015,0
Unknown Chum,2016,740
Unknown Chum,2017,588
Unknown Chum,2018,1623
Unknown Chum,2019,1513
Unknown Chum,2020,3245
