Run,Year,Count
Wild Fall Chinook,1997,0
Wild Fall Chinook,1998,0
Wild Fall Chinook,1999,0
Wild Fall Chinook,2000,0
Wild Fall Chinook,2001,0
Wild Fall Chinook,2002,0
Wild Fall Chinook,2003,0
Wild Fall Chinook,2004,0
Wild Fall Chinook,2005,0
Wild Fall Chinook,2006,0
Wild Fall Chinook,2007,0
Wild Fall Chinook,2008,0
Wild Fall Chinook,2009,0
Wild Fall Chinook,2010,610
Wild Fall Chinook,2011,442
Wild Fall Chinook,2012,364
Wild Fall Chinook,2013,597
Wild Fall Chinook,2014,333
Wild Fall Chinook,2015,489
Wild Fall Chinook,2016,348
Wild Fall Chinook,2017,140
Wild Fall Chinook,2018,90
Wild Fall Chinook,2019,172
Wild Fall Chinook,2020,419
Hatchery Fall Chinook,1997,3492
Hatchery Fall Chinook,1998,1040
Hatchery Fall Chinook,1999,1076
Hatchery Fall Chinook,2000,1620
Hatchery Fall Chinook,2001,4995
Hatchery Fall Chinook,2002,0
Hatchery Fall Chinook,2003,0
Hatchery Fall Chinook,2004,0
Hatchery Fall Chinook,2005,0
Hatchery Fall Chinook,2006,0
Hatchery Fall Chinook,2007,0
Hatchery Fall Chinook,2008,0
Hatchery Fall Chinook,2009,0
Hatchery Fall Chinook,2010,2736
Hatchery Fall Chinook,2011,3831
Hatchery Fall Chinook,2012,2070
Hatchery Fall Chinook,2013,3385
Hatchery Fall Chinook,2014,2324
Hatchery Fall Chinook,2015,1805
Hatchery Fall Chinook,2016,1084
Hatchery Fall Chinook,2017,548
Hatchery Fall Chinook,2018,1144
Hatchery Fall Chinook,2019,2395
Hatchery Fall Chinook,2020,3009
Wild Summer Steelhead,1997,0
Wild Summer Steelhead,1998,1
Wild Summer Steelhead,1999,0
Wild Summer Steelhead,2000,0
Wild Summer Steelhead,2001,0
Wild Summer Steelhead,2002,0
Wild Summer Steelhead,2003,4
Wild Summer Steelhead,2004,0
Wild Summer Steelhead,2005,0
Wild Summer Steelhead,2006,0
Wild Summer Steelhead,2007,4
Wild Summer Steelhead,2008,4
Wild Summer Steelhead,2009,6
Wild Summer Steelhead,2010,0
Wild Summer Steelhead,2011,2
Wild Summer Steelhead,2012,9
Wild Summer Steelhead,2013,3
Wild Summer Steelhead,2014,10
Wild Summer Steelhead,2015,3
Wild Summer Steelhead,2016,2
Wild Summer Steelhead,2017,1
Wild Summer Steelhead,2018,2
Wild Summer Steelhead,2019,2
Wild Summer Steelhead,2020,5
Hatchery Summer Steelhead,1997,4
Hatchery Summer Steelhead,1998,25
Hatchery Summer Steelhead,1999,5
Hatchery Summer Steelhead,2000,53
Hatchery Summer Steelhead,2001,16
Hatchery Summer Steelhead,2002,0
Hatchery Summer Steelhead,2003,50
Hatchery Summer Steelhead,2004,204
Hatchery Summer Steelhead,2005,26
Hatchery Summer Steelhead,2006,11
Hatchery Summer Steelhead,2007,25
Hatchery Summer Steelhead,2008,63
Hatchery Summer Steelhead,2009,58
Hatchery Summer Steelhead,2010,87
Hatchery Summer Steelhead,2011,62
Hatchery Summer Steelhead,2012,315
Hatchery Summer Steelhead,2013,182
Hatchery Summer Steelhead,2014,268
Hatchery Summer Steelhead,2015,154
Hatchery Summer Steelhead,2016,28
Hatchery Summer Steelhead,2017,0
Hatchery Summer Steelhead,2018,2
Hatchery Summer Steelhead,2019,8
Hatchery Summer Steelhead,2020,7
Wild Type S Coho,1997,0
Wild Type S Coho,1998,0
Wild Type S Coho,1999,0
Wild Type S Coho,2000,0
Wild Type S Coho,2001,0
Wild Type S Coho,2002,271
Wild Type S Coho,2003,2034
Wild Type S Coho,2004,238
Wild Type S Coho,2005,68
Wild Type S Coho,2006,23
Wild Type S Coho,2007,118
Wild Type S Coho,2008,658
Wild Type S Coho,2009,472
Wild Type S Coho,2010,709
Wild Type S Coho,2011,1035
Wild Type S Coho,2012,501
Wild Type S Coho,2013,922
Wild Type S Coho,2014,1543
Wild Type S Coho,2015,275
Wild Type S Coho,2016,387
Wild Type S Coho,2017,279
Wild Type S Coho,2018,41
Wild Type S Coho,2019,541
Wild Type S Coho,2020,798
Hatchery Type S Coho,1997,5934
Hatchery Type S Coho,1998,14468
Hatchery Type S Coho,1999,22417
Hatchery Type S Coho,2000,28782
Hatchery Type S Coho,2001,15704
Hatchery Type S Coho,2002,21774
Hatchery Type S Coho,2003,30020
Hatchery Type S Coho,2004,25353
Hatchery Type S Coho,2005,7883
Hatchery Type S Coho,2006,7441
Hatchery Type S Coho,2007,17861
Hatchery Type S Coho,2008,32824
Hatchery Type S Coho,2009,23370
Hatchery Type S Coho,2010,9598
Hatchery Type S Coho,2011,2149
Hatchery Type S Coho,2012,1971
Hatchery Type S Coho,2013,1464
Hatchery Type S Coho,2014,13376
Hatchery Type S Coho,2015,1096
Hatchery Type S Coho,2016,2605
Hatchery Type S Coho,2017,57
Hatchery Type S Coho,2018,337
Hatchery Type S Coho,2019,3544
Hatchery Type S Coho,2020,1978
