Run,Year,Count
Wild Fall Chinook,1997,0
Wild Fall Chinook,1998,0
Wild Fall Chinook,1999,0
Wild Fall Chinook,2000,0
Wild Fall Chinook,2001,0
Wild Fall Chinook,2002,0
Wild Fall Chinook,2003,0
Wild Fall Chinook,2004,0
Wild Fall Chinook,2005,0
Wild Fall Chinook,2006,0
Wild Fall Chinook,2007,0
Wild Fall Chinook,2008,0
Wild Fall Chinook,2009,0
Wild Fall Chinook,2010,162
Wild Fall Chinook,2011,298
Wild Fall Chinook,2012,540
Wild Fall Chinook,2013,1174
Wild Fall Chinook,2014,1269
Wild Fall Chinook,2015,989
Wild Fall Chinook,2016,0
Wild Fall Chinook,2017,0
Wild Fall Chinook,2018,0
Wild Fall Chinook,2019,0
Wild Fall Chinook,2020,0
Hatchery Fall Chinook,1997,10774
Hatchery Fall Chinook,1998,15010
Hatchery Fall Chinook,1999,23202
Hatchery Fall Chinook,2000,7115
Hatchery Fall Chinook,2001,14560
Hatchery Fall Chinook,2002,11933
Hatchery Fall Chinook,2003,8923
Hatchery Fall Chinook,2004,15493
Hatchery Fall Chinook,2005,10408
Hatchery Fall Chinook,2006,8039
Hatchery Fall Chinook,2007,4596
Hatchery Fall Chinook,2008,18448
Hatchery Fall Chinook,2009,9560
Hatchery Fall Chinook,2010,16553
Hatchery Fall Chinook,2011,17176
Hatchery Fall Chinook,2012,18903
Hatchery Fall Chinook,2013,38821
Hatchery Fall Chinook,2014,66056
Hatchery Fall Chinook,2015,60492
Hatchery Fall Chinook,2016,27973
Hatchery Fall Chinook,2017,15251
Hatchery Fall Chinook,2018,14651
Hatchery Fall Chinook,2019,16783
Hatchery Fall Chinook,2020,34694
Unknown Fall Chinook,1997,0
Unknown Fall Chinook,1998,0
Unknown Fall Chinook,1999,0
Unknown Fall Chinook,2000,0
Unknown Fall Chinook,2001,0
Unknown Fall Chinook,2002,0
Unknown Fall Chinook,2003,0
Unknown Fall Chinook,2004,0
Unknown Fall Chinook,2005,0
Unknown Fall Chinook,2006,0
Unknown Fall Chinook,2007,0
Unknown Fall Chinook,2008,0
Unknown Fall Chinook,2009,0
Unknown Fall Chinook,2010,0
Unknown Fall Chinook,2011,0
Unknown Fall Chinook,2012,0
Unknown Fall Chinook,2013,0
Unknown Fall Chinook,2014,0
Unknown Fall Chinook,2015,0
Unknown Fall Chinook,2016,773
Unknown Fall Chinook,2017,1460
Unknown Fall Chinook,2018,1969
Unknown Fall Chinook,2019,2174
Unknown Fall Chinook,2020,1164
Unknown Summer Steelhead,1997,0
Unknown Summer Steelhead,1998,0
Unknown Summer Steelhead,1999,0
Unknown Summer Steelhead,2000,0
Unknown Summer Steelhead,2001,0
Unknown Summer Steelhead,2002,0
Unknown Summer Steelhead,2003,0
Unknown Summer Steelhead,2004,0
Unknown Summer Steelhead,2005,0
Unknown Summer Steelhead,2006,0
Unknown Summer Steelhead,2007,0
Unknown Summer Steelhead,2008,3
Unknown Summer Steelhead,2009,9
Unknown Summer Steelhead,2010,0
Unknown Summer Steelhead,2011,0
Unknown Summer Steelhead,2012,0
Unknown Summer Steelhead,2013,6
Unknown Summer Steelhead,2014,22
Unknown Summer Steelhead,2015,13
Unknown Summer Steelhead,2016,5
Unknown Summer Steelhead,2017,5
Unknown Summer Steelhead,2018,0
Unknown Summer Steelhead,2019,0
Unknown Summer Steelhead,2020,0
Wild Type S Coho,1997,0
Wild Type S Coho,1998,0
Wild Type S Coho,1999,0
Wild Type S Coho,2000,0
Wild Type S Coho,2001,0
Wild Type S Coho,2002,0
Wild Type S Coho,2003,0
Wild Type S Coho,2004,0
Wild Type S Coho,2005,0
Wild Type S Coho,2006,0
Wild Type S Coho,2007,0
Wild Type S Coho,2008,0
Wild Type S Coho,2009,0
Wild Type S Coho,2010,0
Wild Type S Coho,2011,0
Wild Type S Coho,2012,0
Wild Type S Coho,2013,0
Wild Type S Coho,2014,0
Wild Type S Coho,2015,0
Wild Type S Coho,2016,2
Wild Type S Coho,2017,20
Wild Type S Coho,2018,15
Wild Type S Coho,2019,50
Wild Type S Coho,2020,25
Hatchery Type S Coho,1997,0
Hatchery Type S Coho,1998,0
Hatchery Type S Coho,1999,0
Hatchery Type S Coho,2000,0
Hatchery Type S Coho,2001,0
Hatchery Type S Coho,2002,0
Hatchery Type S Coho,2003,0
Hatchery Type S Coho,2004,0
Hatchery Type S Coho,2005,0
Hatchery Type S Coho,2006,0
Hatchery Type S Coho,2007,0
Hatchery Type S Coho,2008,0
Hatchery Type S Coho,2009,0
Hatchery Type S Coho,2010,0
Hatchery Type S Coho,2011,0
Hatchery Type S Coho,2012,3
Hatchery Type S Coho,2013,0
Hatchery Type S Coho,2014,45
Hatchery Type S Coho,2015,3
Hatchery Type S Coho,2016,0
Hatchery Type S Coho,2017,1
Hatchery Type S Coho,2018,14
Hatchery Type S Coho,2019,16
Hatchery Type S Coho,2020,18
