Run,Year,Count
Hatchery Summer Steelhead,1997,670
Hatchery Summer Steelhead,1998,404
Hatchery Summer Steelhead,1999,416
Hatchery Summer Steelhead,2000,402
Hatchery Summer Steelhead,2001,575
Hatchery Summer Steelhead,2002,385
Hatchery Summer Steelhead,2003,655
Hatchery Summer Steelhead,2004,443
Hatchery Summer Steelhead,2005,455
Hatchery Summer Steelhead,2006,504
Hatchery Summer Steelhead,2007,600
Hatchery Summer Steelhead,2008,467
Hatchery Summer Steelhead,2009,676
Hatchery Summer Steelhead,2010,122
Hatchery Summer Steelhead,2011,534
Hatchery Summer Steelhead,2012,433
Hatchery Summer Steelhead,2013,453
Hatchery Summer Steelhead,2014,217
Hatchery Summer Steelhead,2015,807
Hatchery Summer Steelhead,2016,609
Hatchery Summer Steelhead,2017,451
Hatchery Summer Steelhead,2018,559
Hatchery Summer Steelhead,2019,92
Hatchery Summer Steelhead,2020,121
Hatchery Winter Steelhead,1997,0
Hatchery Winter Steelhead,1998,173
Hatchery Winter Steelhead,1999,0
Hatchery Winter Steelhead,2000,0
Hatchery Winter Steelhead,2001,0
Hatchery Winter Steelhead,2002,0
Hatchery Winter Steelhead,2003,65
Hatchery Winter Steelhead,2004,318
Hatchery Winter Steelhead,2005,126
Hatchery Winter Steelhead,2006,47
Hatchery Winter Steelhead,2007,28
Hatchery Winter Steelhead,2008,44
Hatchery Winter Steelhead,2009,98
Hatchery Winter Steelhead,2010,88
Hatchery Winter Steelhead,2011,181
Hatchery Winter Steelhead,2012,509
Hatchery Winter Steelhead,2013,576
Hatchery Winter Steelhead,2014,570
Hatchery Winter Steelhead,2015,492
Hatchery Winter Steelhead,2016,555
Hatchery Winter Steelhead,2017,687
Hatchery Winter Steelhead,2018,577
Hatchery Winter Steelhead,2019,105
Hatchery Winter Steelhead,2020,93
