Run,Year,Count
Hatchery Spring Chinook,1997,631
Hatchery Spring Chinook,1998,1422
Hatchery Spring Chinook,1999,913
Hatchery Spring Chinook,2000,503
Hatchery Spring Chinook,2001,1724
Hatchery Spring Chinook,2002,212
Hatchery Spring Chinook,2003,23
Hatchery Spring Chinook,2004,0
Hatchery Spring Chinook,2005,0
Hatchery Spring Chinook,2006,0
Hatchery Spring Chinook,2007,278
Hatchery Spring Chinook,2008,235
Hatchery Spring Chinook,2009,6
Hatchery Spring Chinook,2010,117
Hatchery Spring Chinook,2011,0
Hatchery Spring Chinook,2012,0
Hatchery Spring Chinook,2013,0
Hatchery Spring Chinook,2014,0
Hatchery Spring Chinook,2015,0
Hatchery Spring Chinook,2016,0
Hatchery Spring Chinook,2017,0
Hatchery Spring Chinook,2018,0
Hatchery Spring Chinook,2019,0
Hatchery Spring Chinook,2020,0
Hatchery Fall Chinook,1997,904
Hatchery Fall Chinook,1998,331
Hatchery Fall Chinook,1999,3169
Hatchery Fall Chinook,2000,0
Hatchery Fall Chinook,2001,1761
Hatchery Fall Chinook,2002,1369
Hatchery Fall Chinook,2003,1021
Hatchery Fall Chinook,2004,824
Hatchery Fall Chinook,2005,2069
Hatchery Fall Chinook,2006,117
Hatchery Fall Chinook,2007,29
Hatchery Fall Chinook,2008,0
Hatchery Fall Chinook,2009,105
Hatchery Fall Chinook,2010,7643
Hatchery Fall Chinook,2011,5634
Hatchery Fall Chinook,2012,5324
Hatchery Fall Chinook,2013,16437
Hatchery Fall Chinook,2014,13397
Hatchery Fall Chinook,2015,14976
Hatchery Fall Chinook,2016,5292
Hatchery Fall Chinook,2017,1217
Hatchery Fall Chinook,2018,512
Hatchery Fall Chinook,2019,1650
Hatchery Fall Chinook,2020,6603
Hatchery Summer Steelhead,1997,1537
Hatchery Summer Steelhead,1998,1008
Hatchery Summer Steelhead,1999,3319
Hatchery Summer Steelhead,2000,37
Hatchery Summer Steelhead,2001,575
Hatchery Summer Steelhead,2002,413
Hatchery Summer Steelhead,2003,1664
Hatchery Summer Steelhead,2004,525
Hatchery Summer Steelhead,2005,210
Hatchery Summer Steelhead,2006,424
Hatchery Summer Steelhead,2007,1
Hatchery Summer Steelhead,2008,176
Hatchery Summer Steelhead,2009,398
Hatchery Summer Steelhead,2010,266
Hatchery Summer Steelhead,2011,141
Hatchery Summer Steelhead,2012,206
Hatchery Summer Steelhead,2013,320
Hatchery Summer Steelhead,2014,1178
Hatchery Summer Steelhead,2015,824
Hatchery Summer Steelhead,2016,545
Hatchery Summer Steelhead,2017,481
Hatchery Summer Steelhead,2018,259
Hatchery Summer Steelhead,2019,354
Hatchery Summer Steelhead,2020,473
Hatchery Type S Coho,1997,0
Hatchery Type S Coho,1998,0
Hatchery Type S Coho,1999,0
Hatchery Type S Coho,2000,0
Hatchery Type S Coho,2001,0
Hatchery Type S Coho,2002,0
Hatchery Type S Coho,2003,27
Hatchery Type S Coho,2004,0
Hatchery Type S Coho,2005,4
Hatchery Type S Coho,2006,1
Hatchery Type S Coho,2007,0
Hatchery Type S Coho,2008,0
Hatchery Type S Coho,2009,78
Hatchery Type S Coho,2010,0
Hatchery Type S Coho,2011,62
Hatchery Type S Coho,2012,6
Hatchery Type S Coho,2013,1
Hatchery Type S Coho,2014,116
Hatchery Type S Coho,2015,18
Hatchery Type S Coho,2016,1
Hatchery Type S Coho,2017,21
Hatchery Type S Coho,2018,11
Hatchery Type S Coho,2019,42
Hatchery Type S Coho,2020,39
