Run,Year,Count
Wild Fall Chinook,1997,0
Wild Fall Chinook,1998,0
Wild Fall Chinook,1999,0
Wild Fall Chinook,2000,0
Wild Fall Chinook,2001,0
Wild Fall Chinook,2002,0
Wild Fall Chinook,2003,0
Wild Fall Chinook,2004,0
Wild Fall Chinook,2005,0
Wild Fall Chinook,2006,0
Wild Fall Chinook,2007,0
Wild Fall Chinook,2008,0
Wild Fall Chinook,2009,0
Wild Fall Chinook,2010,0
Wild Fall Chinook,2011,0
Wild Fall Chinook,2012,0
Wild Fall Chinook,2013,0
Wild Fall Chinook,2014,0
Wild Fall Chinook,2015,0
Wild Fall Chinook,2016,103
Wild Fall Chinook,2017,139
Wild Fall Chinook,2018,367
Wild Fall Chinook,2019,353
Wild Fall Chinook,2020,59
Hatchery Fall Chinook,1997,16064
Hatchery Fall Chinook,1998,7200
Hatchery Fall Chinook,1999,5980
Hatchery Fall Chinook,2000,4265
Hatchery Fall Chinook,2001,12700
Hatchery Fall Chinook,2002,13350
Hatchery Fall Chinook,2003,8450
Hatchery Fall Chinook,2004,6046
Hatchery Fall Chinook,2005,4308
Hatchery Fall Chinook,2006,3554
Hatchery Fall Chinook,2007,8409
Hatchery Fall Chinook,2008,9635
Hatchery Fall Chinook,2009,9798
Hatchery Fall Chinook,2010,15657
Hatchery Fall Chinook,2011,8493
Hatchery Fall Chinook,2012,6632
Hatchery Fall Chinook,2013,8720
Hatchery Fall Chinook,2014,12437
Hatchery Fall Chinook,2015,6114
Hatchery Fall Chinook,2016,4563
Hatchery Fall Chinook,2017,5250
Hatchery Fall Chinook,2018,7939
Hatchery Fall Chinook,2019,7117
Hatchery Fall Chinook,2020,6056
Wild Coho,1997,0
Wild Coho,1998,0
Wild Coho,1999,0
Wild Coho,2000,0
Wild Coho,2001,0
Wild Coho,2002,0
Wild Coho,2003,0
Wild Coho,2004,0
Wild Coho,2005,0
Wild Coho,2006,0
Wild Coho,2007,0
Wild Coho,2008,0
Wild Coho,2009,0
Wild Coho,2010,0
Wild Coho,2011,0
Wild Coho,2012,0
Wild Coho,2013,0
Wild Coho,2014,0
Wild Coho,2015,0
Wild Coho,2016,5406
Wild Coho,2017,2415
Wild Coho,2018,584
Wild Coho,2019,3991
Wild Coho,2020,3094
Hatchery Coho,1997,0
Hatchery Coho,1998,0
Hatchery Coho,1999,0
Hatchery Coho,2000,0
Hatchery Coho,2001,0
Hatchery Coho,2002,0
Hatchery Coho,2003,0
Hatchery Coho,2004,0
Hatchery Coho,2005,0
Hatchery Coho,2006,0
Hatchery Coho,2007,0
Hatchery Coho,2008,171
Hatchery Coho,2009,965
Hatchery Coho,2010,1644
Hatchery Coho,2011,264
Hatchery Coho,2012,4971
Hatchery Coho,2013,2832
Hatchery Coho,2014,3589
Hatchery Coho,2015,518
Hatchery Coho,2016,0
Hatchery Coho,2017,0
Hatchery Coho,2018,0
Hatchery Coho,2019,0
Hatchery Coho,2020,0
