Run,Year,Count
Wild Summer Steelhead,1997,0
Wild Summer Steelhead,1998,0
Wild Summer Steelhead,1999,0
Wild Summer Steelhead,2000,0
Wild Summer Steelhead,2001,0
Wild Summer Steelhead,2002,0
Wild Summer Steelhead,2003,0
Wild Summer Steelhead,2004,0
Wild Summer Steelhead,2005,0
Wild Summer Steelhead,2006,0
Wild Summer Steelhead,2007,0
Wild Summer Steelhead,2008,2
Wild Summer Steelhead,2009,30
Wild Summer Steelhead,2010,25
Wild Summer Steelhead,2011,22
Wild Summer Steelhead,2012,24
Wild Summer Steelhead,2013,18
Wild Summer Steelhead,2014,0
Wild Summer Steelhead,2015,17
Wild Summer Steelhead,2016,2
Wild Summer Steelhead,2017,6
Wild Summer Steelhead,2018,21
Wild Summer Steelhead,2019,16
Wild Summer Steelhead,2020,6
Hatchery Summer Steelhead,1997,856
Hatchery Summer Steelhead,1998,697
Hatchery Summer Steelhead,1999,618
Hatchery Summer Steelhead,2000,2764
Hatchery Summer Steelhead,2001,3221
Hatchery Summer Steelhead,2002,3116
Hatchery Summer Steelhead,2003,1184
Hatchery Summer Steelhead,2004,1682
Hatchery Summer Steelhead,2005,1057
Hatchery Summer Steelhead,2006,1568
Hatchery Summer Steelhead,2007,1662
Hatchery Summer Steelhead,2008,2533
Hatchery Summer Steelhead,2009,2630
Hatchery Summer Steelhead,2010,4120
Hatchery Summer Steelhead,2011,2092
Hatchery Summer Steelhead,2012,1662
Hatchery Summer Steelhead,2013,949
Hatchery Summer Steelhead,2014,2158
Hatchery Summer Steelhead,2015,1852
Hatchery Summer Steelhead,2016,3562
Hatchery Summer Steelhead,2017,817
Hatchery Summer Steelhead,2018,1049
Hatchery Summer Steelhead,2019,739
Hatchery Summer Steelhead,2020,1087
Hatchery Winter Steelhead,1997,5
Hatchery Winter Steelhead,1998,468
Hatchery Winter Steelhead,1999,450
Hatchery Winter Steelhead,2000,280
Hatchery Winter Steelhead,2001,800
Hatchery Winter Steelhead,2002,839
Hatchery Winter Steelhead,2003,504
Hatchery Winter Steelhead,2004,873
Hatchery Winter Steelhead,2005,550
Hatchery Winter Steelhead,2006,477
Hatchery Winter Steelhead,2007,671
Hatchery Winter Steelhead,2008,277
Hatchery Winter Steelhead,2009,445
Hatchery Winter Steelhead,2010,1147
Hatchery Winter Steelhead,2011,48
Hatchery Winter Steelhead,2012,560
Hatchery Winter Steelhead,2013,140
Hatchery Winter Steelhead,2014,478
Hatchery Winter Steelhead,2015,571
Hatchery Winter Steelhead,2016,781
Hatchery Winter Steelhead,2017,205
Hatchery Winter Steelhead,2018,476
Hatchery Winter Steelhead,2019,219
Hatchery Winter Steelhead,2020,985
