Run,Year,Count
Wild Winter-Late Steelhead,1997,0
Wild Winter-Late Steelhead,1998,0
Wild Winter-Late Steelhead,1999,0
Wild Winter-Late Steelhead,2000,0
Wild Winter-Late Steelhead,2001,0
Wild Winter-Late Steelhead,2002,0
Wild Winter-Late Steelhead,2003,0
Wild Winter-Late Steelhead,2004,0
Wild Winter-Late Steelhead,2005,0
Wild Winter-Late Steelhead,2006,0
Wild Winter-Late Steelhead,2007,0
Wild Winter-Late Steelhead,2008,0
Wild Winter-Late Steelhead,2009,0
Wild Winter-Late Steelhead,2010,0
Wild Winter-Late Steelhead,2011,90
Wild Winter-Late Steelhead,2012,147
Wild Winter-Late Steelhead,2013,109
Wild Winter-Late Steelhead,2014,84
Wild Winter-Late Steelhead,2015,164
Wild Winter-Late Steelhead,2016,46
Wild Winter-Late Steelhead,2017,48
Wild Winter-Late Steelhead,2018,29
Wild Winter-Late Steelhead,2019,26
Wild Winter-Late Steelhead,2020,33
Hatchery Winter-Late Steelhead,1997,0
Hatchery Winter-Late Steelhead,1998,0
Hatchery Winter-Late Steelhead,1999,0
Hatchery Winter-Late Steelhead,2000,0
Hatchery Winter-Late Steelhead,2001,0
Hatchery Winter-Late Steelhead,2002,0
Hatchery Winter-Late Steelhead,2003,0
Hatchery Winter-Late Steelhead,2004,0
Hatchery Winter-Late Steelhead,2005,0
Hatchery Winter-Late Steelhead,2006,0
Hatchery Winter-Late Steelhead,2007,0
Hatchery Winter-Late Steelhead,2008,0
Hatchery Winter-Late Steelhead,2009,0
Hatchery Winter-Late Steelhead,2010,0
Hatchery Winter-Late Steelhead,2011,1244
Hatchery Winter-Late Steelhead,2012,2182
Hatchery Winter-Late Steelhead,2013,2265
Hatchery Winter-Late Steelhead,2014,1887
Hatchery Winter-Late Steelhead,2015,2904
Hatchery Winter-Late Steelhead,2016,1489
Hatchery Winter-Late Steelhead,2017,1817
Hatchery Winter-Late Steelhead,2018,2420
Hatchery Winter-Late Steelhead,2019,612
Hatchery Winter-Late Steelhead,2020,1793
Wild Coho,1997,0
Wild Coho,1998,0
Wild Coho,1999,0
Wild Coho,2000,0
Wild Coho,2001,0
Wild Coho,2002,0
Wild Coho,2003,0
Wild Coho,2004,0
Wild Coho,2005,0
Wild Coho,2006,0
Wild Coho,2007,8
Wild Coho,2008,32
Wild Coho,2009,0
Wild Coho,2010,27
Wild Coho,2011,50
Wild Coho,2012,119
Wild Coho,2013,56
Wild Coho,2014,102
Wild Coho,2015,14
Wild Coho,2016,5
Wild Coho,2017,6
Wild Coho,2018,9
Wild Coho,2019,21
Wild Coho,2020,4
Wild Late Coho,1997,0
Wild Late Coho,1998,0
Wild Late Coho,1999,0
Wild Late Coho,2000,0
Wild Late Coho,2001,0
Wild Late Coho,2002,0
Wild Late Coho,2003,0
Wild Late Coho,2004,0
Wild Late Coho,2005,0
Wild Late Coho,2006,0
Wild Late Coho,2007,1
Wild Late Coho,2008,2
Wild Late Coho,2009,4
Wild Late Coho,2010,0
Wild Late Coho,2011,117
Wild Late Coho,2012,20
Wild Late Coho,2013,21
Wild Late Coho,2014,18
Wild Late Coho,2015,64
Wild Late Coho,2016,8
Wild Late Coho,2017,3
Wild Late Coho,2018,5
Wild Late Coho,2019,6
Wild Late Coho,2020,13
Hatchery Coho,1997,0
Hatchery Coho,1998,0
Hatchery Coho,1999,0
Hatchery Coho,2000,0
Hatchery Coho,2001,0
Hatchery Coho,2002,0
Hatchery Coho,2003,0
Hatchery Coho,2004,0
Hatchery Coho,2005,0
Hatchery Coho,2006,0
Hatchery Coho,2007,115
Hatchery Coho,2008,324
Hatchery Coho,2009,0
Hatchery Coho,2010,1560
Hatchery Coho,2011,1272
Hatchery Coho,2012,1118
Hatchery Coho,2013,1484
Hatchery Coho,2014,1964
Hatchery Coho,2015,654
Hatchery Coho,2016,1090
Hatchery Coho,2017,1007
Hatchery Coho,2018,706
Hatchery Coho,2019,472
Hatchery Coho,2020,425
Hatchery Late Coho,1997,0
Hatchery Late Coho,1998,0
Hatchery Late Coho,1999,0
Hatchery Late Coho,2000,0
Hatchery Late Coho,2001,0
Hatchery Late Coho,2002,0
Hatchery Late Coho,2003,0
Hatchery Late Coho,2004,0
Hatchery Late Coho,2005,0
Hatchery Late Coho,2006,0
Hatchery Late Coho,2007,15
Hatchery Late Coho,2008,79
Hatchery Late Coho,2009,36
Hatchery Late Coho,2010,1562
Hatchery Late Coho,2011,2534
Hatchery Late Coho,2012,612
Hatchery Late Coho,2013,257
Hatchery Late Coho,2014,461
Hatchery Late Coho,2015,619
Hatchery Late Coho,2016,395
Hatchery Late Coho,2017,165
Hatchery Late Coho,2018,76
Hatchery Late Coho,2019,134
Hatchery Late Coho,2020,155
