Run,Year,Count
Wild Summer Chinook,1997,0
Wild Summer Chinook,1998,0
Wild Summer Chinook,1999,0
Wild Summer Chinook,2000,0
Wild Summer Chinook,2001,0
Wild Summer Chinook,2002,0
Wild Summer Chinook,2003,0
Wild Summer Chinook,2004,0
Wild Summer Chinook,2005,0
Wild Summer Chinook,2006,0
Wild Summer Chinook,2007,0
Wild Summer Chinook,2008,0
Wild Summer Chinook,2009,0
Wild Summer Chinook,2010,77
Wild Summer Chinook,2011,23
Wild Summer Chinook,2012,16
Wild Summer Chinook,2013,25
Wild Summer Chinook,2014,28
Wild Summer Chinook,2015,12
Wild Summer Chinook,2016,16
Wild Summer Chinook,2017,28
Wild Summer Chinook,2018,29
Wild Summer Chinook,2019,24
Wild Summer Chinook,2020,23
Hatchery Spring Chinook,1997,54
Hatchery Spring Chinook,1998,223
Hatchery Spring Chinook,1999,487
Hatchery Spring Chinook,2000,244
Hatchery Spring Chinook,2001,995
Hatchery Spring Chinook,2002,831
Hatchery Spring Chinook,2003,1250
Hatchery Spring Chinook,2004,702
Hatchery Spring Chinook,2005,801
Hatchery Spring Chinook,2006,997
Hatchery Spring Chinook,2007,943
Hatchery Spring Chinook,2008,0
Hatchery Spring Chinook,2009,0
Hatchery Spring Chinook,2010,0
Hatchery Spring Chinook,2011,0
Hatchery Spring Chinook,2012,0
Hatchery Spring Chinook,2013,0
Hatchery Spring Chinook,2014,0
Hatchery Spring Chinook,2015,0
Hatchery Spring Chinook,2016,0
Hatchery Spring Chinook,2017,0
Hatchery Spring Chinook,2018,0
Hatchery Spring Chinook,2019,0
Hatchery Spring Chinook,2020,0
Hatchery Summer Chinook,1997,0
Hatchery Summer Chinook,1998,0
Hatchery Summer Chinook,1999,0
Hatchery Summer Chinook,2000,0
Hatchery Summer Chinook,2001,0
Hatchery Summer Chinook,2002,0
Hatchery Summer Chinook,2003,0
Hatchery Summer Chinook,2004,0
Hatchery Summer Chinook,2005,0
Hatchery Summer Chinook,2006,0
Hatchery Summer Chinook,2007,0
Hatchery Summer Chinook,2008,0
Hatchery Summer Chinook,2009,0
Hatchery Summer Chinook,2010,803
Hatchery Summer Chinook,2011,673
Hatchery Summer Chinook,2012,437
Hatchery Summer Chinook,2013,535
Hatchery Summer Chinook,2014,342
Hatchery Summer Chinook,2015,505
Hatchery Summer Chinook,2016,778
Hatchery Summer Chinook,2017,532
Hatchery Summer Chinook,2018,621
Hatchery Summer Chinook,2019,823
Hatchery Summer Chinook,2020,742
Wild Winter Steelhead,1997,0
Wild Winter Steelhead,1998,36
Wild Winter Steelhead,1999,56
Wild Winter Steelhead,2000,23
Wild Winter Steelhead,2001,45
Wild Winter Steelhead,2002,48
Wild Winter Steelhead,2003,36
Wild Winter Steelhead,2004,46
Wild Winter Steelhead,2005,56
Wild Winter Steelhead,2006,63
Wild Winter Steelhead,2007,40
Wild Winter Steelhead,2008,39
Wild Winter Steelhead,2009,38
Wild Winter Steelhead,2010,0
Wild Winter Steelhead,2011,0
Wild Winter Steelhead,2012,0
Wild Winter Steelhead,2013,17
Wild Winter Steelhead,2014,15
Wild Winter Steelhead,2015,16
Wild Winter Steelhead,2016,15
Wild Winter Steelhead,2017,0
Wild Winter Steelhead,2018,0
Wild Winter Steelhead,2019,0
Wild Winter Steelhead,2020,0
Hatchery Summer Steelhead,1997,0
Hatchery Summer Steelhead,1998,61
Hatchery Summer Steelhead,1999,0
Hatchery Summer Steelhead,2000,0
Hatchery Summer Steelhead,2001,0
Hatchery Summer Steelhead,2002,0
Hatchery Summer Steelhead,2003,0
Hatchery Summer Steelhead,2004,440
Hatchery Summer Steelhead,2005,189
Hatchery Summer Steelhead,2006,615
Hatchery Summer Steelhead,2007,487
Hatchery Summer Steelhead,2008,700
Hatchery Summer Steelhead,2009,381
Hatchery Summer Steelhead,2010,520
Hatchery Summer Steelhead,2011,580
Hatchery Summer Steelhead,2012,624
Hatchery Summer Steelhead,2013,302
Hatchery Summer Steelhead,2014,22
Hatchery Summer Steelhead,2015,9
Hatchery Summer Steelhead,2016,0
Hatchery Summer Steelhead,2017,0
Hatchery Summer Steelhead,2018,0
Hatchery Summer Steelhead,2019,0
Hatchery Summer Steelhead,2020,0
Wild Coho,1997,0
Wild Coho,1998,0
Wild Coho,1999,0
Wild Coho,2000,0
Wild Coho,2001,0
Wild Coho,2002,0
Wild Coho,2003,0
Wild Coho,2004,0
Wild Coho,2005,0
Wild Coho,2006,0
Wild Coho,2007,20
Wild Coho,2008,0
Wild Coho,2009,0
Wild Coho,2010,78
Wild Coho,2011,15
Wild Coho,2012,0
Wild Coho,2013,9
Wild Coho,2014,15
Wild Coho,2015,33
Wild Coho,2016,1664
Wild Coho,2017,727
Wild Coho,2018,55
Wild Coho,2019,20
Wild Coho,2020,31
Hatchery Summer Coho,1997,1850
Hatchery Summer Coho,1998,1806
Hatchery Summer Coho,1999,7527
Hatchery Summer Coho,2000,3794
Hatchery Summer Coho,2001,12813
Hatchery Summer Coho,2002,3744
Hatchery Summer Coho,2003,5160
Hatchery Summer Coho,2004,6339
Hatchery Summer Coho,2005,7132
Hatchery Summer Coho,2006,1829
Hatchery Summer Coho,2007,4862
Hatchery Summer Coho,2008,0
Hatchery Summer Coho,2009,0
Hatchery Summer Coho,2010,1625
Hatchery Summer Coho,2011,3800
Hatchery Summer Coho,2012,1588
Hatchery Summer Coho,2013,2504
Hatchery Summer Coho,2014,5085
Hatchery Summer Coho,2015,4570
Hatchery Summer Coho,2016,2116
Hatchery Summer Coho,2017,7245
Hatchery Summer Coho,2018,624
Hatchery Summer Coho,2019,815
Hatchery Summer Coho,2020,3719
Hatchery Coho,1997,0
Hatchery Coho,1998,0
Hatchery Coho,1999,13262
Hatchery Coho,2000,12817
Hatchery Coho,2001,23892
Hatchery Coho,2002,29150
Hatchery Coho,2003,13745
Hatchery Coho,2004,21944
Hatchery Coho,2005,24136
Hatchery Coho,2006,3750
Hatchery Coho,2007,5443
Hatchery Coho,2008,8
Hatchery Coho,2009,0
Hatchery Coho,2010,23687
Hatchery Coho,2011,22472
Hatchery Coho,2012,2276
Hatchery Coho,2013,4496
Hatchery Coho,2014,13005
Hatchery Coho,2015,3595
Hatchery Coho,2016,16332
Hatchery Coho,2017,17878
Hatchery Coho,2018,9762
Hatchery Coho,2019,4712
Hatchery Coho,2020,12832
