Run,Year,Count
Hatchery Spring Chinook,1997,67
Hatchery Spring Chinook,1998,1188
Hatchery Spring Chinook,1999,740
Hatchery Spring Chinook,2000,777
Hatchery Spring Chinook,2001,2009
Hatchery Spring Chinook,2002,827
Hatchery Spring Chinook,2003,796
Hatchery Spring Chinook,2004,0
Hatchery Spring Chinook,2005,0
Hatchery Spring Chinook,2006,0
Hatchery Spring Chinook,2007,0
Hatchery Spring Chinook,2008,0
Hatchery Spring Chinook,2009,0
Hatchery Spring Chinook,2010,0
Hatchery Spring Chinook,2011,0
Hatchery Spring Chinook,2012,0
Hatchery Spring Chinook,2013,0
Hatchery Spring Chinook,2014,0
Hatchery Spring Chinook,2015,11
Hatchery Spring Chinook,2016,0
Hatchery Spring Chinook,2017,0
Hatchery Spring Chinook,2018,0
Hatchery Spring Chinook,2019,50
Hatchery Spring Chinook,2020,0
Hatchery Type S Coho,1997,5933
Hatchery Type S Coho,1998,0
Hatchery Type S Coho,1999,1539
Hatchery Type S Coho,2000,1676
Hatchery Type S Coho,2001,1302
Hatchery Type S Coho,2002,899
Hatchery Type S Coho,2003,900
Hatchery Type S Coho,2004,0
Hatchery Type S Coho,2005,0
Hatchery Type S Coho,2006,0
Hatchery Type S Coho,2007,0
Hatchery Type S Coho,2008,0
Hatchery Type S Coho,2009,0
Hatchery Type S Coho,2010,0
Hatchery Type S Coho,2011,8
Hatchery Type S Coho,2012,0
Hatchery Type S Coho,2013,0
Hatchery Type S Coho,2014,0
Hatchery Type S Coho,2015,0
Hatchery Type S Coho,2016,0
Hatchery Type S Coho,2017,0
Hatchery Type S Coho,2018,0
Hatchery Type S Coho,2019,0
Hatchery Type S Coho,2020,74
