Run,Year,Count
Wild Summer Chinook,1997,210
Wild Summer Chinook,1998,86
Wild Summer Chinook,1999,75
Wild Summer Chinook,2000,144
Wild Summer Chinook,2001,0
Wild Summer Chinook,2002,0
Wild Summer Chinook,2003,0
Wild Summer Chinook,2004,0
Wild Summer Chinook,2005,0
Wild Summer Chinook,2006,0
Wild Summer Chinook,2007,0
Wild Summer Chinook,2008,0
Wild Summer Chinook,2009,0
Wild Summer Chinook,2010,0
Wild Summer Chinook,2011,0
Wild Summer Chinook,2012,0
Wild Summer Chinook,2013,151
Wild Summer Chinook,2014,264
Wild Summer Chinook,2015,308
Wild Summer Chinook,2016,280
Wild Summer Chinook,2017,231
Wild Summer Chinook,2018,93
Wild Summer Chinook,2019,273
Wild Summer Chinook,2020,400
Wild Fall Chinook,1997,489
Wild Fall Chinook,1998,464
Wild Fall Chinook,1999,458
Wild Fall Chinook,2000,667
Wild Fall Chinook,2001,0
Wild Fall Chinook,2002,0
Wild Fall Chinook,2003,0
Wild Fall Chinook,2004,0
Wild Fall Chinook,2005,0
Wild Fall Chinook,2006,0
Wild Fall Chinook,2007,0
Wild Fall Chinook,2008,0
Wild Fall Chinook,2009,0
Wild Fall Chinook,2010,0
Wild Fall Chinook,2011,0
Wild Fall Chinook,2012,0
Wild Fall Chinook,2013,0
Wild Fall Chinook,2014,0
Wild Fall Chinook,2015,0
Wild Fall Chinook,2016,0
Wild Fall Chinook,2017,0
Wild Fall Chinook,2018,0
Wild Fall Chinook,2019,0
Wild Fall Chinook,2020,0
Hatchery Summer Chinook,1997,0
Hatchery Summer Chinook,1998,0
Hatchery Summer Chinook,1999,0
Hatchery Summer Chinook,2000,0
Hatchery Summer Chinook,2001,0
Hatchery Summer Chinook,2002,0
Hatchery Summer Chinook,2003,0
Hatchery Summer Chinook,2004,0
Hatchery Summer Chinook,2005,0
Hatchery Summer Chinook,2006,0
Hatchery Summer Chinook,2007,0
Hatchery Summer Chinook,2008,0
Hatchery Summer Chinook,2009,0
Hatchery Summer Chinook,2010,0
Hatchery Summer Chinook,2011,0
Hatchery Summer Chinook,2012,0
Hatchery Summer Chinook,2013,6
Hatchery Summer Chinook,2014,80
Hatchery Summer Chinook,2015,190
Hatchery Summer Chinook,2016,30
Hatchery Summer Chinook,2017,38
Hatchery Summer Chinook,2018,4
Hatchery Summer Chinook,2019,21
Hatchery Summer Chinook,2020,36
Wild Summer Steelhead,1997,0
Wild Summer Steelhead,1998,0
Wild Summer Steelhead,1999,59
Wild Summer Steelhead,2000,0
Wild Summer Steelhead,2001,0
