Run,Year,Count
Wild Fall Chinook,1997,0
Wild Fall Chinook,1998,0
Wild Fall Chinook,1999,0
Wild Fall Chinook,2000,0
Wild Fall Chinook,2001,78
Wild Fall Chinook,2002,88
Wild Fall Chinook,2003,71
Wild Fall Chinook,2004,26
Wild Fall Chinook,2005,19
Wild Fall Chinook,2006,32
Wild Fall Chinook,2007,17
Wild Fall Chinook,2008,7
Wild Fall Chinook,2009,9
Wild Fall Chinook,2010,5
Wild Fall Chinook,2011,12
Wild Fall Chinook,2012,14
Wild Fall Chinook,2013,6
Wild Fall Chinook,2014,4
Wild Fall Chinook,2015,18
Wild Fall Chinook,2016,0
Wild Fall Chinook,2017,86
Wild Fall Chinook,2018,51
Wild Fall Chinook,2019,29
Wild Fall Chinook,2020,18
Hatchery Fall Chinook,1997,0
Hatchery Fall Chinook,1998,0
Hatchery Fall Chinook,1999,0
Hatchery Fall Chinook,2000,90
Hatchery Fall Chinook,2001,68
Hatchery Fall Chinook,2002,33
Hatchery Fall Chinook,2003,36
Hatchery Fall Chinook,2004,5
Hatchery Fall Chinook,2005,23
Hatchery Fall Chinook,2006,2
Hatchery Fall Chinook,2007,16
Hatchery Fall Chinook,2008,7
Hatchery Fall Chinook,2009,36
Hatchery Fall Chinook,2010,4
Hatchery Fall Chinook,2011,66
Hatchery Fall Chinook,2012,79
Hatchery Fall Chinook,2013,24
Hatchery Fall Chinook,2014,11
Hatchery Fall Chinook,2015,60
Hatchery Fall Chinook,2016,0
Hatchery Fall Chinook,2017,55
Hatchery Fall Chinook,2018,51
Hatchery Fall Chinook,2019,22
Hatchery Fall Chinook,2020,9
Hatchery Summer Steelhead,1997,12
Hatchery Summer Steelhead,1998,316
Hatchery Summer Steelhead,1999,185
Hatchery Summer Steelhead,2000,212
Hatchery Summer Steelhead,2001,202
Hatchery Summer Steelhead,2002,106
Hatchery Summer Steelhead,2003,175
Hatchery Summer Steelhead,2004,222
Hatchery Summer Steelhead,2005,129
Hatchery Summer Steelhead,2006,153
Hatchery Summer Steelhead,2007,65
Hatchery Summer Steelhead,2008,1
Hatchery Summer Steelhead,2009,2
Hatchery Summer Steelhead,2010,5
Hatchery Summer Steelhead,2011,1
Hatchery Summer Steelhead,2012,1
Hatchery Summer Steelhead,2013,0
Hatchery Summer Steelhead,2014,0
Hatchery Summer Steelhead,2015,0
Hatchery Summer Steelhead,2016,0
Hatchery Summer Steelhead,2017,1
Hatchery Summer Steelhead,2018,1
Hatchery Summer Steelhead,2019,0
Hatchery Summer Steelhead,2020,0
Hatchery Winter Steelhead,1997,27
Hatchery Winter Steelhead,1998,850
Hatchery Winter Steelhead,1999,307
Hatchery Winter Steelhead,2000,478
Hatchery Winter Steelhead,2001,754
Hatchery Winter Steelhead,2002,811
Hatchery Winter Steelhead,2003,418
Hatchery Winter Steelhead,2004,1263
Hatchery Winter Steelhead,2005,665
Hatchery Winter Steelhead,2006,966
Hatchery Winter Steelhead,2007,755
Hatchery Winter Steelhead,2008,404
Hatchery Winter Steelhead,2009,351
Hatchery Winter Steelhead,2010,681
Hatchery Winter Steelhead,2011,679
Hatchery Winter Steelhead,2012,804
Hatchery Winter Steelhead,2013,580
Hatchery Winter Steelhead,2014,563
Hatchery Winter Steelhead,2015,373
Hatchery Winter Steelhead,2016,88
Hatchery Winter Steelhead,2017,266
Hatchery Winter Steelhead,2018,201
Hatchery Winter Steelhead,2019,54
Hatchery Winter Steelhead,2020,97
