Run,Year,Count
Wild Spring Chinook,1997,0
Wild Spring Chinook,1998,0
Wild Spring Chinook,1999,1
Wild Spring Chinook,2000,0
Wild Spring Chinook,2001,42
Wild Spring Chinook,2002,175
Wild Spring Chinook,2003,77
Wild Spring Chinook,2004,309
Wild Spring Chinook,2005,127
Wild Spring Chinook,2006,57
Wild Spring Chinook,2007,99
Wild Spring Chinook,2008,92
Wild Spring Chinook,2009,327
Wild Spring Chinook,2010,752
Wild Spring Chinook,2011,336
Wild Spring Chinook,2012,220
Wild Spring Chinook,2013,226
Wild Spring Chinook,2014,317
Wild Spring Chinook,2015,274
Wild Spring Chinook,2016,115
Wild Spring Chinook,2017,17
Wild Spring Chinook,2018,62
Wild Spring Chinook,2019,41
Wild Spring Chinook,2020,34
Hatchery Spring Chinook,1997,0
Hatchery Spring Chinook,1998,31
Hatchery Spring Chinook,1999,1
Hatchery Spring Chinook,2000,0
Hatchery Spring Chinook,2001,11
Hatchery Spring Chinook,2002,580
Hatchery Spring Chinook,2003,137
Hatchery Spring Chinook,2004,103
Hatchery Spring Chinook,2005,94
Hatchery Spring Chinook,2006,70
Hatchery Spring Chinook,2007,52
Hatchery Spring Chinook,2008,116
Hatchery Spring Chinook,2009,410
Hatchery Spring Chinook,2010,738
Hatchery Spring Chinook,2011,161
Hatchery Spring Chinook,2012,232
Hatchery Spring Chinook,2013,154
Hatchery Spring Chinook,2014,110
Hatchery Spring Chinook,2015,358
Hatchery Spring Chinook,2016,299
Hatchery Spring Chinook,2017,104
Hatchery Spring Chinook,2018,297
Hatchery Spring Chinook,2019,115
Hatchery Spring Chinook,2020,12
Wild Summer Steelhead,1997,0
Wild Summer Steelhead,1998,0
Wild Summer Steelhead,1999,9
Wild Summer Steelhead,2000,44
Wild Summer Steelhead,2001,28
Wild Summer Steelhead,2002,255
Wild Summer Steelhead,2003,96
Wild Summer Steelhead,2004,29
Wild Summer Steelhead,2005,42
Wild Summer Steelhead,2006,89
Wild Summer Steelhead,2007,14
Wild Summer Steelhead,2008,11
Wild Summer Steelhead,2009,88
Wild Summer Steelhead,2010,322
Wild Summer Steelhead,2011,201
Wild Summer Steelhead,2012,182
Wild Summer Steelhead,2013,83
Wild Summer Steelhead,2014,180
Wild Summer Steelhead,2015,342
Wild Summer Steelhead,2016,328
Wild Summer Steelhead,2017,70
Wild Summer Steelhead,2018,84
Wild Summer Steelhead,2019,99
Wild Summer Steelhead,2020,53
Hatchery Summer Steelhead,1997,0
Hatchery Summer Steelhead,1998,0
Hatchery Summer Steelhead,1999,0
Hatchery Summer Steelhead,2000,2
Hatchery Summer Steelhead,2001,0
Hatchery Summer Steelhead,2002,173
Hatchery Summer Steelhead,2003,94
Hatchery Summer Steelhead,2004,5
Hatchery Summer Steelhead,2005,14
Hatchery Summer Steelhead,2006,41
Hatchery Summer Steelhead,2007,21
Hatchery Summer Steelhead,2008,9
Hatchery Summer Steelhead,2009,257
Hatchery Summer Steelhead,2010,334
Hatchery Summer Steelhead,2011,132
Hatchery Summer Steelhead,2012,213
Hatchery Summer Steelhead,2013,233
Hatchery Summer Steelhead,2014,257
Hatchery Summer Steelhead,2015,175
Hatchery Summer Steelhead,2016,150
Hatchery Summer Steelhead,2017,78
Hatchery Summer Steelhead,2018,206
Hatchery Summer Steelhead,2019,80
Hatchery Summer Steelhead,2020,27
