Run,Year,Count
Hatchery Fall Chinook,1997,3928
Hatchery Fall Chinook,1998,4073
Hatchery Fall Chinook,1999,7160
Hatchery Fall Chinook,2000,5671
Hatchery Fall Chinook,2001,5622
Hatchery Fall Chinook,2002,8487
Hatchery Fall Chinook,2003,7619
Hatchery Fall Chinook,2004,12491
Hatchery Fall Chinook,2005,8876
Hatchery Fall Chinook,2006,16221
Hatchery Fall Chinook,2007,13261
Hatchery Fall Chinook,2008,10777
Hatchery Fall Chinook,2009,9862
Hatchery Fall Chinook,2010,5541
Hatchery Fall Chinook,2011,3889
Hatchery Fall Chinook,2012,5625
Hatchery Fall Chinook,2013,10157
Hatchery Fall Chinook,2014,2946
Hatchery Fall Chinook,2015,3747
Hatchery Fall Chinook,2016,13188
Hatchery Fall Chinook,2017,30081
Hatchery Fall Chinook,2018,11467
Hatchery Fall Chinook,2019,8902
Hatchery Fall Chinook,2020,3204
