Run,Year,Count
Wild Fall Chinook,1997,0
Wild Fall Chinook,1998,0
Wild Fall Chinook,1999,0
Wild Fall Chinook,2000,0
Wild Fall Chinook,2001,0
Wild Fall Chinook,2002,0
Wild Fall Chinook,2003,0
Wild Fall Chinook,2004,0
Wild Fall Chinook,2005,0
Wild Fall Chinook,2006,0
Wild Fall Chinook,2007,0
Wild Fall Chinook,2008,0
Wild Fall Chinook,2009,0
Wild Fall Chinook,2010,17
Wild Fall Chinook,2011,27
Wild Fall Chinook,2012,15
Wild Fall Chinook,2013,8
Wild Fall Chinook,2014,18
Wild Fall Chinook,2015,8
Wild Fall Chinook,2016,42
Wild Fall Chinook,2017,25
Wild Fall Chinook,2018,12
Wild Fall Chinook,2019,12
Wild Fall Chinook,2020,13
Hatchery Fall Chinook,1997,4280
Hatchery Fall Chinook,1998,3828
Hatchery Fall Chinook,1999,3434
Hatchery Fall Chinook,2000,1589
Hatchery Fall Chinook,2001,2572
Hatchery Fall Chinook,2002,2948
Hatchery Fall Chinook,2003,1984
Hatchery Fall Chinook,2004,2070
Hatchery Fall Chinook,2005,2404
Hatchery Fall Chinook,2006,4629
Hatchery Fall Chinook,2007,4563
Hatchery Fall Chinook,2008,3096
Hatchery Fall Chinook,2009,3042
Hatchery Fall Chinook,2010,2366
Hatchery Fall Chinook,2011,2320
Hatchery Fall Chinook,2012,963
Hatchery Fall Chinook,2013,1571
Hatchery Fall Chinook,2014,2659
Hatchery Fall Chinook,2015,2884
Hatchery Fall Chinook,2016,5337
Hatchery Fall Chinook,2017,5599
Hatchery Fall Chinook,2018,5452
Hatchery Fall Chinook,2019,5084
Hatchery Fall Chinook,2020,5098
Hatchery Winter Steelhead,1997,2
Hatchery Winter Steelhead,1998,92
Hatchery Winter Steelhead,1999,122
Hatchery Winter Steelhead,2000,91
Hatchery Winter Steelhead,2001,102
Hatchery Winter Steelhead,2002,90
Hatchery Winter Steelhead,2003,20
Hatchery Winter Steelhead,2004,69
Hatchery Winter Steelhead,2005,42
Hatchery Winter Steelhead,2006,51
Hatchery Winter Steelhead,2007,48
Hatchery Winter Steelhead,2008,16
Hatchery Winter Steelhead,2009,0
Hatchery Winter Steelhead,2010,3
Hatchery Winter Steelhead,2011,9
Hatchery Winter Steelhead,2012,0
Hatchery Winter Steelhead,2013,0
Hatchery Winter Steelhead,2014,0
Hatchery Winter Steelhead,2015,0
Hatchery Winter Steelhead,2016,0
Hatchery Winter Steelhead,2017,0
Hatchery Winter Steelhead,2018,0
Hatchery Winter Steelhead,2019,0
Hatchery Winter Steelhead,2020,0
Wild Coho,1997,0
Wild Coho,1998,0
Wild Coho,1999,0
Wild Coho,2000,0
Wild Coho,2001,0
Wild Coho,2002,0
Wild Coho,2003,0
Wild Coho,2004,0
Wild Coho,2005,0
Wild Coho,2006,0
Wild Coho,2007,0
Wild Coho,2008,0
Wild Coho,2009,0
Wild Coho,2010,32
Wild Coho,2011,13
Wild Coho,2012,101
Wild Coho,2013,31
Wild Coho,2014,16
Wild Coho,2015,72
Wild Coho,2016,89
Wild Coho,2017,38
Wild Coho,2018,80
Wild Coho,2019,28
Wild Coho,2020,26
Hatchery Coho,1997,16600
Hatchery Coho,1998,8128
Hatchery Coho,1999,9000
Hatchery Coho,2000,39319
Hatchery Coho,2001,34300
Hatchery Coho,2002,48179
Hatchery Coho,2003,38592
Hatchery Coho,2004,20721
Hatchery Coho,2005,24224
Hatchery Coho,2006,9575
Hatchery Coho,2007,10992
Hatchery Coho,2008,6279
Hatchery Coho,2009,7560
Hatchery Coho,2010,1144
Hatchery Coho,2011,7368
Hatchery Coho,2012,5338
Hatchery Coho,2013,6658
Hatchery Coho,2014,4390
Hatchery Coho,2015,6145
Hatchery Coho,2016,23973
Hatchery Coho,2017,6559
Hatchery Coho,2018,16947
Hatchery Coho,2019,8684
Hatchery Coho,2020,8890
Wild Pink,1997,0
Wild Pink,1998,0
Wild Pink,1999,0
Wild Pink,2000,0
Wild Pink,2001,0
Wild Pink,2002,0
Wild Pink,2003,0
Wild Pink,2004,0
Wild Pink,2005,383
Wild Pink,2006,0
Wild Pink,2007,46
Wild Pink,2008,0
Wild Pink,2009,1502
Wild Pink,2010,0
Wild Pink,2011,250
Wild Pink,2012,0
Wild Pink,2013,84
Wild Pink,2014,0
Wild Pink,2015,705
Wild Pink,2016,0
Wild Pink,2017,0
Wild Pink,2018,0
Wild Pink,2019,0
Wild Pink,2020,0
