Run,Year,Count
Hatchery Summer Chinook,1997,916
Hatchery Summer Chinook,1998,1008
Hatchery Summer Chinook,1999,1675
Hatchery Summer Chinook,2000,3493
Hatchery Summer Chinook,2001,3143
Hatchery Summer Chinook,2002,2542
Hatchery Summer Chinook,2003,3603
Hatchery Summer Chinook,2004,6243
Hatchery Summer Chinook,2005,3563
Hatchery Summer Chinook,2006,0
Hatchery Summer Chinook,2007,0
Hatchery Summer Chinook,2008,0
Hatchery Summer Chinook,2009,0
Hatchery Summer Chinook,2010,2721
Hatchery Summer Chinook,2011,3023
Hatchery Summer Chinook,2012,6256
Hatchery Summer Chinook,2013,4783
Hatchery Summer Chinook,2014,4085
Hatchery Summer Chinook,2015,3020
Hatchery Summer Chinook,2016,7973
Hatchery Summer Chinook,2017,6665
Hatchery Summer Chinook,2018,4464
Hatchery Summer Chinook,2019,4954
Hatchery Summer Chinook,2020,3848
Hatchery Fall Chinook,1997,2509
Hatchery Fall Chinook,1998,3739
Hatchery Fall Chinook,1999,4700
Hatchery Fall Chinook,2000,1931
Hatchery Fall Chinook,2001,0
Hatchery Fall Chinook,2002,24
Hatchery Fall Chinook,2003,0
Hatchery Fall Chinook,2004,0
Hatchery Fall Chinook,2005,0
Hatchery Fall Chinook,2006,0
Hatchery Fall Chinook,2007,0
Hatchery Fall Chinook,2008,0
Hatchery Fall Chinook,2009,0
Hatchery Fall Chinook,2010,0
Hatchery Fall Chinook,2011,0
Hatchery Fall Chinook,2012,0
Hatchery Fall Chinook,2013,0
Hatchery Fall Chinook,2014,0
Hatchery Fall Chinook,2015,0
Hatchery Fall Chinook,2016,0
Hatchery Fall Chinook,2017,0
Hatchery Fall Chinook,2018,0
Hatchery Fall Chinook,2019,0
Hatchery Fall Chinook,2020,0
Hatchery Summer Steelhead,1997,0
Hatchery Summer Steelhead,1998,0
Hatchery Summer Steelhead,1999,0
Hatchery Summer Steelhead,2000,249
Hatchery Summer Steelhead,2001,0
Hatchery Summer Steelhead,2002,0
Hatchery Summer Steelhead,2003,20
Hatchery Summer Steelhead,2004,0
Hatchery Summer Steelhead,2005,197
Hatchery Summer Steelhead,2006,143
Hatchery Summer Steelhead,2007,113
Hatchery Summer Steelhead,2008,594
Hatchery Summer Steelhead,2009,484
Hatchery Summer Steelhead,2010,354
Hatchery Summer Steelhead,2011,332
Hatchery Summer Steelhead,2012,246
Hatchery Summer Steelhead,2013,162
Hatchery Summer Steelhead,2014,668
Hatchery Summer Steelhead,2015,802
Hatchery Summer Steelhead,2016,1029
Hatchery Summer Steelhead,2017,337
Hatchery Summer Steelhead,2018,406
Hatchery Summer Steelhead,2019,195
Hatchery Summer Steelhead,2020,305
Hatchery Winter Steelhead,1997,0
Hatchery Winter Steelhead,1998,0
Hatchery Winter Steelhead,1999,0
Hatchery Winter Steelhead,2000,0
Hatchery Winter Steelhead,2001,0
Hatchery Winter Steelhead,2002,0
Hatchery Winter Steelhead,2003,63
Hatchery Winter Steelhead,2004,0
Hatchery Winter Steelhead,2005,0
Hatchery Winter Steelhead,2006,0
Hatchery Winter Steelhead,2007,0
Hatchery Winter Steelhead,2008,30
Hatchery Winter Steelhead,2009,68
Hatchery Winter Steelhead,2010,50
Hatchery Winter Steelhead,2011,109
Hatchery Winter Steelhead,2012,48
Hatchery Winter Steelhead,2013,65
Hatchery Winter Steelhead,2014,208
Hatchery Winter Steelhead,2015,189
Hatchery Winter Steelhead,2016,65
Hatchery Winter Steelhead,2017,182
Hatchery Winter Steelhead,2018,136
Hatchery Winter Steelhead,2019,24
Hatchery Winter Steelhead,2020,93
Hatchery Coho,1997,20000
Hatchery Coho,1998,19959
Hatchery Coho,1999,8200
Hatchery Coho,2000,16800
Hatchery Coho,2001,12900
Hatchery Coho,2002,11836
Hatchery Coho,2003,13047
Hatchery Coho,2004,14852
Hatchery Coho,2005,13191
Hatchery Coho,2006,0
Hatchery Coho,2007,0
Hatchery Coho,2008,0
Hatchery Coho,2009,0
Hatchery Coho,2010,3869
Hatchery Coho,2011,7598
Hatchery Coho,2012,10247
Hatchery Coho,2013,9000
Hatchery Coho,2014,7632
Hatchery Coho,2015,1611
Hatchery Coho,2016,8123
Hatchery Coho,2017,4566
Hatchery Coho,2018,4053
Hatchery Coho,2019,4612
Hatchery Coho,2020,8729
Wild Pink,1997,0
Wild Pink,1998,0
Wild Pink,1999,655
Wild Pink,2000,0
Wild Pink,2001,0
Wild Pink,2002,0
Wild Pink,2003,0
Wild Pink,2004,0
Wild Pink,2005,0
Wild Pink,2006,0
Wild Pink,2007,781
Wild Pink,2008,0
Wild Pink,2009,2706
Wild Pink,2010,0
Wild Pink,2011,230
Wild Pink,2012,0
Wild Pink,2013,258
Wild Pink,2014,0
Wild Pink,2015,1600
Wild Pink,2016,0
Wild Pink,2017,0
Wild Pink,2018,0
Wild Pink,2019,0
Wild Pink,2020,0
