Run,Year,Count
Wild Fall Chinook,1997,0
Wild Fall Chinook,1998,0
Wild Fall Chinook,1999,0
Wild Fall Chinook,2000,0
Wild Fall Chinook,2001,0
Wild Fall Chinook,2002,0
Wild Fall Chinook,2003,0
Wild Fall Chinook,2004,0
Wild Fall Chinook,2005,0
Wild Fall Chinook,2006,0
Wild Fall Chinook,2007,0
Wild Fall Chinook,2008,0
Wild Fall Chinook,2009,0
Wild Fall Chinook,2010,0
Wild Fall Chinook,2011,349
Wild Fall Chinook,2012,293
Wild Fall Chinook,2013,634
Wild Fall Chinook,2014,53
Wild Fall Chinook,2015,26
Wild Fall Chinook,2016,30
Wild Fall Chinook,2017,25
Wild Fall Chinook,2018,36
Wild Fall Chinook,2019,165
Wild Fall Chinook,2020,121
Hatchery Fall Chinook,1997,6095
Hatchery Fall Chinook,1998,4139
Hatchery Fall Chinook,1999,0
Hatchery Fall Chinook,2000,1969
Hatchery Fall Chinook,2001,7324
Hatchery Fall Chinook,2002,7553
Hatchery Fall Chinook,2003,9638
Hatchery Fall Chinook,2004,10658
Hatchery Fall Chinook,2005,6305
Hatchery Fall Chinook,2006,5028
Hatchery Fall Chinook,2007,4645
Hatchery Fall Chinook,2008,6468
Hatchery Fall Chinook,2009,7862
Hatchery Fall Chinook,2010,11183
Hatchery Fall Chinook,2011,3945
Hatchery Fall Chinook,2012,4812
Hatchery Fall Chinook,2013,8597
Hatchery Fall Chinook,2014,97
Hatchery Fall Chinook,2015,337
Hatchery Fall Chinook,2016,1210
Hatchery Fall Chinook,2017,144
Hatchery Fall Chinook,2018,72
Hatchery Fall Chinook,2019,1555
Hatchery Fall Chinook,2020,612
Wild Summer Steelhead,1997,0
Wild Summer Steelhead,1998,0
Wild Summer Steelhead,1999,0
Wild Summer Steelhead,2000,0
Wild Summer Steelhead,2001,0
Wild Summer Steelhead,2002,0
Wild Summer Steelhead,2003,34
Wild Summer Steelhead,2004,0
Wild Summer Steelhead,2005,0
Wild Summer Steelhead,2006,0
Wild Summer Steelhead,2007,0
Wild Summer Steelhead,2008,0
Wild Summer Steelhead,2009,0
Wild Summer Steelhead,2010,0
Wild Summer Steelhead,2011,6
Wild Summer Steelhead,2012,38
Wild Summer Steelhead,2013,56
Wild Summer Steelhead,2014,132
Wild Summer Steelhead,2015,165
Wild Summer Steelhead,2016,110
Wild Summer Steelhead,2017,91
Wild Summer Steelhead,2018,146
Wild Summer Steelhead,2019,86
Wild Summer Steelhead,2020,45
Hatchery Summer Steelhead,1997,0
Hatchery Summer Steelhead,1998,0
Hatchery Summer Steelhead,1999,0
Hatchery Summer Steelhead,2000,0
Hatchery Summer Steelhead,2001,0
Hatchery Summer Steelhead,2002,0
Hatchery Summer Steelhead,2003,0
Hatchery Summer Steelhead,2004,0
Hatchery Summer Steelhead,2005,0
Hatchery Summer Steelhead,2006,0
Hatchery Summer Steelhead,2007,0
Hatchery Summer Steelhead,2008,0
Hatchery Summer Steelhead,2009,0
Hatchery Summer Steelhead,2010,0
Hatchery Summer Steelhead,2011,7
Hatchery Summer Steelhead,2012,17
Hatchery Summer Steelhead,2013,38
Hatchery Summer Steelhead,2014,27
Hatchery Summer Steelhead,2015,6
Hatchery Summer Steelhead,2016,1
Hatchery Summer Steelhead,2017,10
Hatchery Summer Steelhead,2018,7
Hatchery Summer Steelhead,2019,0
Hatchery Summer Steelhead,2020,5
Wild Type N Coho,1997,0
Wild Type N Coho,1998,0
Wild Type N Coho,1999,0
Wild Type N Coho,2000,0
Wild Type N Coho,2001,0
Wild Type N Coho,2002,0
Wild Type N Coho,2003,0
Wild Type N Coho,2004,0
Wild Type N Coho,2005,0
Wild Type N Coho,2006,0
Wild Type N Coho,2007,54
Wild Type N Coho,2008,101
Wild Type N Coho,2009,1490
Wild Type N Coho,2010,401
Wild Type N Coho,2011,77
Wild Type N Coho,2012,54
Wild Type N Coho,2013,92
Wild Type N Coho,2014,75
Wild Type N Coho,2015,34
Wild Type N Coho,2016,52
Wild Type N Coho,2017,105
Wild Type N Coho,2018,51
Wild Type N Coho,2019,145
Wild Type N Coho,2020,92
Hatchery Type N Coho,1997,610
Hatchery Type N Coho,1998,1200
Hatchery Type N Coho,1999,0
Hatchery Type N Coho,2000,8153
Hatchery Type N Coho,2001,18457
Hatchery Type N Coho,2002,19265
Hatchery Type N Coho,2003,0
Hatchery Type N Coho,2004,4110
Hatchery Type N Coho,2005,100
Hatchery Type N Coho,2006,11016
Hatchery Type N Coho,2007,5049
Hatchery Type N Coho,2008,6009
Hatchery Type N Coho,2009,12000
Hatchery Type N Coho,2010,2526
Hatchery Type N Coho,2011,1585
Hatchery Type N Coho,2012,1305
Hatchery Type N Coho,2013,2414
Hatchery Type N Coho,2014,9981
Hatchery Type N Coho,2015,818
Hatchery Type N Coho,2016,2469
Hatchery Type N Coho,2017,2856
Hatchery Type N Coho,2018,2400
Hatchery Type N Coho,2019,1987
Hatchery Type N Coho,2020,5056
Wild Chum,1997,0
Wild Chum,1998,0
Wild Chum,1999,0
Wild Chum,2000,0
Wild Chum,2001,0
Wild Chum,2002,184
Wild Chum,2003,74
Wild Chum,2004,0
Wild Chum,2005,20
Wild Chum,2006,56
Wild Chum,2007,0
Wild Chum,2008,0
Wild Chum,2009,0
Wild Chum,2010,0
Wild Chum,2011,176
Wild Chum,2012,140
Wild Chum,2013,150
Wild Chum,2014,165
Wild Chum,2015,130
Wild Chum,2016,184
Wild Chum,2017,157
Wild Chum,2018,182
Wild Chum,2019,178
Wild Chum,2020,170
