Run,Year,Count
Wild Fall Chinook,1997,0
Wild Fall Chinook,1998,0
Wild Fall Chinook,1999,0
Wild Fall Chinook,2000,0
Wild Fall Chinook,2001,0
Wild Fall Chinook,2002,0
Wild Fall Chinook,2003,0
Wild Fall Chinook,2004,0
Wild Fall Chinook,2005,0
Wild Fall Chinook,2006,0
Wild Fall Chinook,2007,0
Wild Fall Chinook,2008,0
Wild Fall Chinook,2009,0
Wild Fall Chinook,2010,0
Wild Fall Chinook,2011,0
Wild Fall Chinook,2012,0
Wild Fall Chinook,2013,0
Wild Fall Chinook,2014,921
Wild Fall Chinook,2015,1084
Wild Fall Chinook,2016,399
Wild Fall Chinook,2017,339
Wild Fall Chinook,2018,130
Wild Fall Chinook,2019,309
Wild Fall Chinook,2020,511
Hatchery Fall Chinook,1997,0
Hatchery Fall Chinook,1998,0
Hatchery Fall Chinook,1999,0
Hatchery Fall Chinook,2000,0
Hatchery Fall Chinook,2001,0
Hatchery Fall Chinook,2002,0
Hatchery Fall Chinook,2003,0
Hatchery Fall Chinook,2004,0
Hatchery Fall Chinook,2005,0
Hatchery Fall Chinook,2006,0
Hatchery Fall Chinook,2007,0
Hatchery Fall Chinook,2008,0
Hatchery Fall Chinook,2009,0
Hatchery Fall Chinook,2010,0
Hatchery Fall Chinook,2011,0
Hatchery Fall Chinook,2012,0
Hatchery Fall Chinook,2013,0
Hatchery Fall Chinook,2014,9259
Hatchery Fall Chinook,2015,15459
Hatchery Fall Chinook,2016,6284
Hatchery Fall Chinook,2017,2699
Hatchery Fall Chinook,2018,1342
Hatchery Fall Chinook,2019,2339
Hatchery Fall Chinook,2020,3880
Wild Summer Steelhead,1997,0
Wild Summer Steelhead,1998,0
Wild Summer Steelhead,1999,0
Wild Summer Steelhead,2000,0
Wild Summer Steelhead,2001,0
Wild Summer Steelhead,2002,0
Wild Summer Steelhead,2003,0
Wild Summer Steelhead,2004,0
Wild Summer Steelhead,2005,0
Wild Summer Steelhead,2006,0
Wild Summer Steelhead,2007,0
Wild Summer Steelhead,2008,0
Wild Summer Steelhead,2009,0
Wild Summer Steelhead,2010,0
Wild Summer Steelhead,2011,0
Wild Summer Steelhead,2012,0
Wild Summer Steelhead,2013,0
Wild Summer Steelhead,2014,72
Wild Summer Steelhead,2015,82
Wild Summer Steelhead,2016,22
Wild Summer Steelhead,2017,16
Wild Summer Steelhead,2018,40
Wild Summer Steelhead,2019,25
Wild Summer Steelhead,2020,37
Hatchery Summer Steelhead,1997,0
Hatchery Summer Steelhead,1998,0
Hatchery Summer Steelhead,1999,0
Hatchery Summer Steelhead,2000,0
Hatchery Summer Steelhead,2001,0
Hatchery Summer Steelhead,2002,0
Hatchery Summer Steelhead,2003,0
Hatchery Summer Steelhead,2004,0
Hatchery Summer Steelhead,2005,0
Hatchery Summer Steelhead,2006,0
Hatchery Summer Steelhead,2007,0
Hatchery Summer Steelhead,2008,0
Hatchery Summer Steelhead,2009,0
Hatchery Summer Steelhead,2010,0
Hatchery Summer Steelhead,2011,0
Hatchery Summer Steelhead,2012,0
Hatchery Summer Steelhead,2013,0
Hatchery Summer Steelhead,2014,364
Hatchery Summer Steelhead,2015,371
Hatchery Summer Steelhead,2016,422
Hatchery Summer Steelhead,2017,78
Hatchery Summer Steelhead,2018,205
Hatchery Summer Steelhead,2019,72
Hatchery Summer Steelhead,2020,87
Wild Type N Coho,1997,0
Wild Type N Coho,1998,0
Wild Type N Coho,1999,0
Wild Type N Coho,2000,0
Wild Type N Coho,2001,0
Wild Type N Coho,2002,0
Wild Type N Coho,2003,0
Wild Type N Coho,2004,0
Wild Type N Coho,2005,0
Wild Type N Coho,2006,0
Wild Type N Coho,2007,0
Wild Type N Coho,2008,0
Wild Type N Coho,2009,0
Wild Type N Coho,2010,0
Wild Type N Coho,2011,0
Wild Type N Coho,2012,0
Wild Type N Coho,2013,0
Wild Type N Coho,2014,54
Wild Type N Coho,2015,7
Wild Type N Coho,2016,0
Wild Type N Coho,2017,23
Wild Type N Coho,2018,2
Wild Type N Coho,2019,15
Wild Type N Coho,2020,26
Hatchery Type N Coho,1997,0
Hatchery Type N Coho,1998,0
Hatchery Type N Coho,1999,0
Hatchery Type N Coho,2000,0
Hatchery Type N Coho,2001,0
Hatchery Type N Coho,2002,0
Hatchery Type N Coho,2003,0
Hatchery Type N Coho,2004,0
Hatchery Type N Coho,2005,0
Hatchery Type N Coho,2006,0
Hatchery Type N Coho,2007,0
Hatchery Type N Coho,2008,0
Hatchery Type N Coho,2009,0
Hatchery Type N Coho,2010,0
Hatchery Type N Coho,2011,0
Hatchery Type N Coho,2012,0
Hatchery Type N Coho,2013,0
Hatchery Type N Coho,2014,1074
Hatchery Type N Coho,2015,24
Hatchery Type N Coho,2016,7
Hatchery Type N Coho,2017,448
Hatchery Type N Coho,2018,102
Hatchery Type N Coho,2019,50
Hatchery Type N Coho,2020,1112
