Run,Year,Count
Hatchery Summer Chinook,1997,11
Hatchery Summer Chinook,1998,0
Hatchery Summer Chinook,1999,0
Hatchery Summer Chinook,2000,0
Hatchery Summer Chinook,2001,0
Hatchery Summer Chinook,2002,0
Hatchery Summer Chinook,2003,0
Hatchery Summer Chinook,2004,0
Hatchery Summer Chinook,2005,0
Hatchery Summer Chinook,2006,0
Hatchery Summer Chinook,2007,0
Hatchery Summer Chinook,2008,0
Hatchery Summer Chinook,2009,0
Hatchery Summer Chinook,2010,6
Hatchery Summer Chinook,2011,9
Hatchery Summer Chinook,2012,19
Hatchery Summer Chinook,2013,4
Hatchery Summer Chinook,2014,16
Hatchery Summer Chinook,2015,4
Hatchery Summer Chinook,2016,32
Hatchery Summer Chinook,2017,34
Hatchery Summer Chinook,2018,8
Hatchery Summer Chinook,2019,63
Hatchery Summer Chinook,2020,8
Hatchery Summer Steelhead,1997,265
Hatchery Summer Steelhead,1998,177
Hatchery Summer Steelhead,1999,0
Hatchery Summer Steelhead,2000,0
Hatchery Summer Steelhead,2001,33
Hatchery Summer Steelhead,2002,18
Hatchery Summer Steelhead,2003,22
Hatchery Summer Steelhead,2004,44
Hatchery Summer Steelhead,2005,56
Hatchery Summer Steelhead,2006,48
Hatchery Summer Steelhead,2007,30
Hatchery Summer Steelhead,2008,18
Hatchery Summer Steelhead,2009,30
Hatchery Summer Steelhead,2010,55
Hatchery Summer Steelhead,2011,98
Hatchery Summer Steelhead,2012,228
Hatchery Summer Steelhead,2013,174
Hatchery Summer Steelhead,2014,116
Hatchery Summer Steelhead,2015,79
Hatchery Summer Steelhead,2016,60
Hatchery Summer Steelhead,2017,31
Hatchery Summer Steelhead,2018,37
Hatchery Summer Steelhead,2019,49
Hatchery Summer Steelhead,2020,57
Hatchery Winter Steelhead,1997,3
Hatchery Winter Steelhead,1998,197
Hatchery Winter Steelhead,1999,201
Hatchery Winter Steelhead,2000,170
Hatchery Winter Steelhead,2001,165
Hatchery Winter Steelhead,2002,422
Hatchery Winter Steelhead,2003,107
Hatchery Winter Steelhead,2004,251
Hatchery Winter Steelhead,2005,326
Hatchery Winter Steelhead,2006,307
Hatchery Winter Steelhead,2007,132
Hatchery Winter Steelhead,2008,95
Hatchery Winter Steelhead,2009,78
Hatchery Winter Steelhead,2010,288
Hatchery Winter Steelhead,2011,86
Hatchery Winter Steelhead,2012,209
Hatchery Winter Steelhead,2013,138
Hatchery Winter Steelhead,2014,280
Hatchery Winter Steelhead,2015,58
Hatchery Winter Steelhead,2016,7
Hatchery Winter Steelhead,2017,39
Hatchery Winter Steelhead,2018,149
Hatchery Winter Steelhead,2019,51
Hatchery Winter Steelhead,2020,44
Wild Coho,1997,0
Wild Coho,1998,0
Wild Coho,1999,0
Wild Coho,2000,0
Wild Coho,2001,0
Wild Coho,2002,0
Wild Coho,2003,0
Wild Coho,2004,0
Wild Coho,2005,18
Wild Coho,2006,5
Wild Coho,2007,0
Wild Coho,2008,0
Wild Coho,2009,0
Wild Coho,2010,0
Wild Coho,2011,0
Wild Coho,2012,12
Wild Coho,2013,3
Wild Coho,2014,8
Wild Coho,2015,22
Wild Coho,2016,25
Wild Coho,2017,39
Wild Coho,2018,81
Wild Coho,2019,98
Wild Coho,2020,77
